,title,imdb_id,poster_path,wiki_link,imdb_id,title,original_title,is_adult,year_of_release,runtime,genres,imdb_id,imdb_rating,imdb_votes
19,Photograph (film),tt7778680,https://upload.wikimedia.org/wikipedia/en/7/71/Photograph_%282019_poster%29.png,https://en.wikipedia.org/wiki/Photograph_(film),tt1183944,Sadiyaan: Boundaries Divide... Love Unites,Sadiyaan: Boundaries Divide... Love Unites,0,2010,200,Drama|Romance,tt9795264,6.7,11.0
20,Risknamaa,tt9795264,,https://en.wikipedia.org/wiki/Risknamaa,tt1185412,Veer,Veer,0,2010,169,Action|Adventure|Drama,tt8207768,6.8,344.0
21,Mere Pyare Prime Minister,tt8207768,https://upload.wikimedia.org/wikipedia/en/thumb/2/24/Mere_Pyare_Prime_Minister_poster.jpg/220px-Mere_Pyare_Prime_Minister_poster.jpg,https://en.wikipedia.org/wiki/Mere_Pyare_Prime_Minister,tt1188982,Jai Ho,Jai Ho,0,2014,135,Action|Drama,tt9496212,5.3,124.0
22,22 Yards,tt9496212,https://upload.wikimedia.org/wikipedia/en/thumb/f/f2/22_Yards_film_poster.jpeg/220px-22_Yards_film_poster.jpeg,https://en.wikipedia.org/wiki/22_Yards,tt1188996,My Name Is Khan,My Name Is Khan,0,2010,165,Drama,tt6264938,7.4,10653.0
23,Kesari (film),tt6264938,https://upload.wikimedia.org/wikipedia/en/thumb/c/c4/Kesari_poster.jpg/220px-Kesari_poster.jpg,https://en.wikipedia.org/wiki/Kesari_(film),tt1189006,Toonpur Ka Superrhero,Toonpur Ka Superrhero,0,2010,95,Action|Adventure|Animation,tt9105014,6.8,1335.0
24,Notebook (2019 film),tt9105014,https://upload.wikimedia.org/wikipedia/en/thumb/7/7f/Notebook_film_poster.jpg/220px-Notebook_film_poster.jpg,https://en.wikipedia.org/wiki/Notebook_(2019_film),tt1191118,Hello Darling,Hello Darling,0,2010,\N,Comedy|Drama,tt7463730,5.3,1064.0
25,Junglee (2019 film),tt7463730,https://upload.wikimedia.org/wikipedia/en/e/e2/Junglee_film_poster.jpg,https://en.wikipedia.org/wiki/Junglee_(2019_film),tt1191130,Right Yaaa Wrong,Right Yaaa Wrong,0,2010,135,Crime|Drama|Thriller,tt10017956,7.1,178.0
26,Gone Kesh,tt10017956,https://upload.wikimedia.org/wikipedia/en/thumb/d/d1/Gone_Kesh_film_poster.jpg/220px-Gone_Kesh_film_poster.jpg,https://en.wikipedia.org/wiki/Gone_Kesh,tt1194232,Jaane Kahan Se Aayi Hai,Jaane Kahan Se Aayi Hai,0,2010,94,Comedy|Drama|Fantasy,tt4355838,4.8,56.0
27,Albert Pinto Ko Gussa Kyun Aata Hai?,tt4355838,https://upload.wikimedia.org/wikipedia/en/thumb/f/f5/Albert_Pinto_Ko_Gussa_Kyun_Aata_Hai_film_poster.jpg/220px-Albert_Pinto_Ko_Gussa_Kyun_Aata_Hai_film_poster.jpg,https://en.wikipedia.org/wiki/Albert_Pinto_Ko_Gussa_Kyun_Aata_Hai%3F,tt1194236,Paathshaala,Get Educated: Paathshaala,0,2010,122,Drama|Family,tt8108268,8.0,5524.0
28,The Tashkent Files,tt8108268,https://upload.wikimedia.org/wikipedia/en/7/79/The_Tashkent_Files_poster.jpg,https://en.wikipedia.org/wiki/The_Tashkent_Files,tt1198101,Kites,Kites,0,2010,123,Action|Drama|Romance,tt6988116,3.6,9106.0
29,Kalank,tt6988116,https://upload.wikimedia.org/wikipedia/en/thumb/8/80/Kalank_Poster.jpg/220px-Kalank_Poster.jpg,https://en.wikipedia.org/wiki/Kalank,tt1221147,Tera Kya Hoga Johnny,Tera Kya Hoga Johnny,0,2009,155,Crime|Drama|Thriller,tt9239772,5.1,158.0
30,Setters (film),tt9239772,https://upload.wikimedia.org/wikipedia/en/thumb/0/08/Setters_Official_Poster.png/220px-Setters_Official_Poster.png,https://en.wikipedia.org/wiki/Setters_(film),tt1227524,Aashayein,Aashayein,0,2010,120,Drama,tt7255568,2.5,12671.0
31,Student of the Year 2,tt7255568,https://upload.wikimedia.org/wikipedia/en/thumb/3/3c/Student_of_the_year_2_Poster.jpg/220px-Student_of_the_year_2_Poster.jpg,https://en.wikipedia.org/wiki/Student_of_the_Year_2,tt1239276,Colours of Passion,Rang Rasiya,0,2008,132,Biography|Drama|Romance,tt9558612,3.3,4484.0
32,PM Narendra Modi,tt9558612,https://upload.wikimedia.org/wikipedia/en/thumb/8/80/PM_Narendra_Modi.jpg/220px-PM_Narendra_Modi.jpg,https://en.wikipedia.org/wiki/PM_Narendra_Modi,tt1244093,Hisss,Hisss,0,2010,98,Comedy|Drama|Horror,tt8647400,6.6,5387.0
33,De De Pyaar De,tt8647400,https://upload.wikimedia.org/wikipedia/en/thumb/c/c4/De_De_Pyaar_De_Poster.jpg/220px-De_De_Pyaar_De_Poster.jpg,https://en.wikipedia.org/wiki/De_De_Pyaar_De,tt1245732,Red Alert: The War Within,Red Alert: The War Within,0,2009,120,Action|Drama|Thriller,tt8484942,4.4,1449.0
34,India's Most Wanted (film),tt8484942,https://upload.wikimedia.org/wikipedia/en/a/ae/India%27s_Most_Wanted_poster.jpg,https://en.wikipedia.org/wiki/India%27s_Most_Wanted_(film),tt1279105,Ramaa: The Saviour,Ramaa: The Saviour,0,2010,120,Action|Adventure|Drama,tt5525846,5.7,169.0
35,Yeh Hai India,tt5525846,https://upload.wikimedia.org/wikipedia/en/thumb/d/db/Yeh_Hai_India_Official_Poster.jpg/220px-Yeh_Hai_India_Official_Poster.jpg,https://en.wikipedia.org/wiki/Yeh_Hai_India,tt1285241,Don 2,Don 2,0,2011,148,Action|Crime|Thriller,tt8268972,3.7,153.0
36,Khamoshi (2019 film),tt8268972,https://upload.wikimedia.org/wikipedia/en/e/ef/Khamoshi_2019.jpg,https://en.wikipedia.org/wiki/Khamoshi_(2019_film),tt1285245,Lahore,Lahore,0,2010,145,Action|Drama|Sport,tt8983202,7.2,20535.0
37,Kissebaaz,tt10404768,https://upload.wikimedia.org/wikipedia/en/a/a3/Kissebaaz_Poster.jpg,https://en.wikipedia.org/wiki/Kissebaaz,tt1286766,Fatso!,Fatso!,0,2012,98,Comedy|Fantasy|Romance,tt10324144,8.3,13417.0
38,Kabir Singh,tt8983202,https://upload.wikimedia.org/wikipedia/en/thumb/d/dc/Kabir_Singh.jpg/220px-Kabir_Singh.jpg,https://en.wikipedia.org/wiki/Kabir_Singh,tt1292642,People of Allah,Allah Ke Banday,0,2010,123,Action|Crime|Drama,tt8130558,6.8,590.0
39,Article 15 (film),tt10324144,https://upload.wikimedia.org/wikipedia/en/thumb/1/11/Article_15_Poster.jpg/220px-Article_15_Poster.jpg,https://en.wikipedia.org/wiki/Article_15_(film),tt1309561,Lamhaa: The Untold Story of Kashmir,Lamhaa: The Untold Story of Kashmir,0,2010,152,Action|Drama|Thriller,tt6862542,7.4,85.0
40,One Day: Justice Delivered,tt8130558,https://upload.wikimedia.org/wikipedia/en/f/f7/One_Day-_Justice_Delivered.jpg,https://en.wikipedia.org/wiki/One_Day:_Justice_Delivered,tt1319716,It's a Wonderful Afterlife,It's a Wonderful Afterlife,0,2010,100,Comedy|Drama|Fantasy,tt7485048,8.2,13972.0
41,Hume Tumse Pyaar Kitna,tt6862542,https://upload.wikimedia.org/wikipedia/en/thumb/2/2c/Hume_Tumse_Pyaar_Kitna.jpg/220px-Hume_Tumse_Pyaar_Kitna.jpg,https://en.wikipedia.org/wiki/Hume_Tumse_Pyaar_Kitna,tt1322257,Jhootha Hi Sahi,Jhootha Hi Sahi,0,2010,142,Comedy|Drama|Romance,tt8897986,9.4,895.0
42,Super 30 (film),tt7485048,https://upload.wikimedia.org/wikipedia/en/thumb/2/29/Super_30_The_Film.jpg/220px-Super_30_The_Film.jpg,https://en.wikipedia.org/wiki/Super_30_(film),tt1334470,Raavan,Raavan,0,2010,130,Action|Adventure|Drama,tt8869978,7.3,5556.0
43,Family of Thakurganj,tt8897986,https://upload.wikimedia.org/wikipedia/en/9/99/Family_of_Thakurganj.jpg,https://en.wikipedia.org/wiki/Family_of_Thakurganj,tt1345777,Ishqiya,Ishqiya,0,2010,118,Comedy|Drama|Romance,tt8206760,4.8,215.0
44,Batla House,tt8869978,https://upload.wikimedia.org/wikipedia/en/e/ed/Batla_House_poster.jpg,https://en.wikipedia.org/wiki/Batla_House,tt1351224,Pyaar Impossible!,Pyaar Impossible!,0,2010,140,Comedy|Romance,tt8108196,6.0,3269.0
45,Jhootha Kahin Ka,tt8206760,https://upload.wikimedia.org/wikipedia/en/a/a6/Jhootha_Kahin_Ka_Poster.jpg,https://en.wikipedia.org/wiki/Jhootha_Kahin_Ka,tt1363125,Naughty @ 40,Naughty @ 40,0,2011,108,Comedy|Drama,tt7189494,6.0,19.0
46,Judgementall Hai Kya,tt8108196,https://upload.wikimedia.org/wikipedia/en/c/c8/Judgementall_Hai_Kya_poster.jpg,https://en.wikipedia.org/wiki/Judgementall_Hai_Kya,tt1363363,Chatur Singh Two Star,Chatur Singh Two Star,0,2011,150,Action|Adventure|Comedy,tt7881524,4.1,676.0
47,Chicken Curry Law,tt7189494,https://upload.wikimedia.org/wikipedia/en/thumb/4/4d/Chicken_Curry_Law_Poster.jpg/220px-Chicken_Curry_Law_Poster.jpg,https://en.wikipedia.org/wiki/Chicken_Curry_Law,tt1368453,Chargesheet,Chargesheet,0,2011,\N,Drama|Thriller,tt8785426,4.2,767.0
48,Arjun Patiala,tt7881524,https://upload.wikimedia.org/wikipedia/en/thumb/8/83/Arjun_Patiala_poster.jpg/220px-Arjun_Patiala_poster.jpg,https://en.wikipedia.org/wiki/Arjun_Patiala,tt1373156,Karthik Calling Karthik,Karthik Calling Karthik,0,2010,135,Drama|Mystery|Thriller,tt7228072,7.0,43.0
