,title,imdb_id,poster_path,wiki_link,imdb_id,title,original_title,is_adult,year_of_release,runtime,genres,imdb_id,imdb_rating,imdb_votes
173,Running Shaadi,tt6296236,https://upload.wikimedia.org/wikipedia/en/thumb/7/7d/Running_Shaadi.jpg/220px-Running_Shaadi.jpg,https://en.wikipedia.org/wiki/Runningshaadi.com,tt1867064,Strings of Passion,Strings of Passion,0,2014,100,Drama,tt5543746,4.5,321.0
174,The Ghazi Attack,tt6299040,https://upload.wikimedia.org/wikipedia/en/thumb/e/e7/The_Ghazi_Attack_Poster.jpg/220px-The_Ghazi_Attack_Poster.jpg,https://en.wikipedia.org/wiki/The_Ghazi_Attack_(film),tt1867070,Teen Thay Bhai,Teen Thay Bhai,0,2011,\N,Comedy|Drama,tt5742874,4.9,1688.0
175,Irada (2017 film),tt6467738,https://upload.wikimedia.org/wikipedia/en/thumb/9/92/Irada_Movie_Poster.jpg/220px-Irada_Movie_Poster.jpg,https://en.wikipedia.org/wiki/Irada_(2017_film),tt1869296,Bbuddah... Hoga Terra Baap,Bbuddah... Hoga Terra Baap,0,2011,114,Action|Crime|Thriller,tt6642396,6.0,3309.0
176,Rangoon (2017 Hindi film),tt4909752,https://upload.wikimedia.org/wikipedia/en/thumb/b/b3/RangoonPoster.jpg/220px-RangoonPoster.jpg,https://en.wikipedia.org/wiki/Rangoon_(2017_Hindi_film),tt1877691,Love Breakups Zindagi,Love Breakups Zindagi,0,2011,156,Comedy|Drama|Romance,tt5474042,4.3,5577.0
177,Wedding Anniversary,tt6499258,https://upload.wikimedia.org/wikipedia/en/thumb/1/16/Wedding_Anniversary_hindi_film_poster.jpg/220px-Wedding_Anniversary_hindi_film_poster.jpg,https://en.wikipedia.org/wiki/Wedding_Anniversary_(2017_film),tt1883121,404: Error Not Found,404: Error Not Found,0,2011,121,Drama|Mystery|Thriller,tt5472374,5.8,3266.0
178,Mona Darling,,https://upload.wikimedia.org/wikipedia/en/thumb/f/f0/Mona_Darling_hindi_film_promotional_poster.jpg/220px-Mona_Darling_hindi_film_promotional_poster.jpg,https://en.wikipedia.org/wiki/Mona_Darling,tt1884268,Chalo Dilli,Chalo Dilli,0,2011,155,Comedy|Drama,tt4640206,8.6,7239.0
179,Jeena Isi Ka Naam Hai (film),tt5756052,https://upload.wikimedia.org/wikipedia/en/thumb/b/bb/Jeena_Isi_Ka_Naam_Poster.jpg/220px-Jeena_Isi_Ka_Naam_Poster.jpg,https://en.wikipedia.org/wiki/Jeena_isi_Ka_Naam_Hai_(film),tt1886663,Satrangee Parachute,Satrangee Parachute,0,2011,115,Comedy|Drama|Family,tt5764096,7.8,18315.0
180,Badrinath Ki Dulhania,tt6277440,https://upload.wikimedia.org/wikipedia/en/thumb/d/dc/Badrinath_Ki_Dulhania_poster.jpg/220px-Badrinath_Ki_Dulhania_poster.jpg,https://en.wikipedia.org/wiki/Badrinath_Ki_Dulhania,tt1887763,Haunted - 3D,Haunted - 3D,0,2011,143,Horror|Mystery|Thriller,tt5544662,3.5,212.0
181,Trapped (2016 Hindi film),tt6206564,https://upload.wikimedia.org/wikipedia/en/thumb/6/62/Trapped_2016_poster.jpg/220px-Trapped_2016_poster.jpg,https://en.wikipedia.org/wiki/Trapped_(2016_Indian_film),tt1887817,Monica,Monica,0,2011,124,Biography|Drama|Thriller,tt4552486,3.9,291.0
182,Aa Gaya Hero,tt5896934,https://upload.wikimedia.org/wikipedia/en/thumb/d/d7/Aa_Gaya_Hero_promotional_poster.jpg/220px-Aa_Gaya_Hero_promotional_poster.jpg,https://en.wikipedia.org/wiki/Aa_Gaya_Hero,tt1890363,Buddha in a Traffic Jam,Buddha in a Traffic Jam,0,2016,114,Crime|Thriller,tt4493550,5.9,64.0
183,Mantra (2016 film),tt5046500,https://upload.wikimedia.org/wikipedia/en/thumb/f/fb/Mantra_%282016_film%29_first_look_poster.jpg/220px-Mantra_%282016_film%29_first_look_poster.jpg,https://en.wikipedia.org/wiki/Mantra_(2016_film),tt1890513,Ragini MMS,Ragini MMS,0,2011,93,Drama|Horror|Mystery,tt6033536,5.2,276.0
184,Phillauri (film),tt5502766,https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/Phillauri_Film_Poster.jpg/220px-Phillauri_Film_Poster.jpg,https://en.wikipedia.org/wiki/Phillauri_(film),tt1891884,Once Upon a Time in Mumbai Dobaara!,Once Upon a Time in Mumbai Dobaara!,0,2013,160,Action|Crime|Drama,tt5542802,4.1,2667.0
185,Machine (2017 film),tt5785200,https://upload.wikimedia.org/wikipedia/en/thumb/d/dd/Machine_%282017_film%29_Poster.jpg/220px-Machine_%282017_film%29_Poster.jpg,https://en.wikipedia.org/wiki/Machine_(2017_film),tt1895476,Memories in March,Memories in March,0,2010,104,Drama,tt6537508,5.5,1514.0
186,Bhanwarey,tt6611040,https://upload.wikimedia.org/wikipedia/en/thumb/2/2c/Bhanwarey_poster.jpg/220px-Bhanwarey_poster.jpg,https://en.wikipedia.org/wiki/Bhanwarey,tt1900937,Mumbai Mast Kallander,Mumbai Mast Kallander,0,2011,\N,Action|Comedy|Crime,tt5882970,4.0,12911.0
187,Anaarkali of Aarah,tt6058394,https://upload.wikimedia.org/wikipedia/en/thumb/9/9f/Anarkali_of_Arrah_poster.jpg/220px-Anarkali_of_Arrah_poster.jpg,https://en.wikipedia.org/wiki/Anaarkali_of_Aarah,tt1907761,Stanley Ka Dabba,Stanley Ka Dabba,0,2011,96,Comedy|Drama|Family,tt3611266,5.9,2164.0
188,Poorna: Courage Has No Limit,,https://upload.wikimedia.org/wikipedia/en/thumb/f/f2/Poorna_-_Poster.jpg/220px-Poorna_-_Poster.jpg,https://en.wikipedia.org/wiki/Poorna:_Courage_Has_No_Limit,tt1916728,Shor in the City,Shor in the City,0,2010,112,Crime|Drama,tt6349528,5.0,87.0
189,Naam Shabana,tt6170954,https://upload.wikimedia.org/wikipedia/en/thumb/d/d5/Naam_Shabana_Poster.jpg/220px-Naam_Shabana_Poster.jpg,https://en.wikipedia.org/wiki/Naam_Shabana,tt1918886,Joker,Joker,0,2012,104,Comedy|Family|Sci-Fi,tt4129428,6.4,8162.0
190,Mirza Juuliet,,https://upload.wikimedia.org/wikipedia/en/thumb/c/c0/Mirza_Juuliet_Official_Poster.jpg/220px-Mirza_Juuliet_Official_Poster.jpg,https://en.wikipedia.org/wiki/Mirza_Juuliet,tt1918965,Murder 2,Murder 2,0,2011,127,Action|Drama|Horror,tt4287778,4.4,196.0
191,Hotel Salvation,tt5997928,https://upload.wikimedia.org/wikipedia/en/thumb/d/d0/Mukti_Bhawan_-_Poster.jpg/220px-Mukti_Bhawan_-_Poster.jpg,https://en.wikipedia.org/wiki/Mukti_Bhawan,tt1920986,Khuda Kasam,Khuda Kasam,0,2010,160,Action|Crime|Drama,tt4807830,6.8,5583.0
192,Begum Jaan,tt5785116,https://upload.wikimedia.org/wikipedia/en/thumb/4/4d/Begum_Jaan.jpg/220px-Begum_Jaan.jpg,https://en.wikipedia.org/wiki/Begum_Jaan,tt1926313,Pyaar Ka Punchnama,Pyaar Ka Punchnama,0,2011,149,Comedy|Drama|Romance,tt4307132,8.3,45.0
193,Noor (film),tt5775220,https://upload.wikimedia.org/wikipedia/en/thumb/c/c1/Noor_Poster.jpg/220px-Noor_Poster.jpg,https://en.wikipedia.org/wiki/Noor_(film),tt1934231,Delhi Belly,Delhi Belly,0,2011,103,Action|Comedy|Crime,tt6620324,6.0,1287.0
194,Ek Thi Rani Aisi Bhi,tt6752836,https://upload.wikimedia.org/wikipedia/en/thumb/6/6d/Ek_Thi_Rani_Aisi_Bhi.jpg/220px-Ek_Thi_Rani_Aisi_Bhi.jpg,https://en.wikipedia.org/wiki/Ek_Thi_Rani_Aisi_Bhi,tt1937092,Always Kabhi Kabhi,Always Kabhi Kabhi,0,2011,126,Comedy|Crime|Drama,tt5997666,5.3,17317.0
195,Maatr,tt5543746,https://upload.wikimedia.org/wikipedia/en/thumb/1/15/Maatr_poster.jpg/220px-Maatr_poster.jpg,https://en.wikipedia.org/wiki/Maatr,tt1939654,Bheja Fry 2,Bheja Fry 2,0,2011,129,Comedy|Drama,tt6117702,3.4,2396.0
196,Sarkar 3,tt5742874,https://upload.wikimedia.org/wikipedia/en/thumb/b/b8/Sarkar_3_poster.jpg/220px-Sarkar_3_poster.jpg,https://en.wikipedia.org/wiki/Sarkar_3,tt1941638,Sadda Adda,Sadda Adda,0,2012,130,Comedy|Drama|Romance,tt5785170,7.2,15738.0
197,Jattu Engineer,tt6642396,,https://en.wikipedia.org/wiki/Jattu_Engineer,tt1942905,Kucch Luv Jaisaa,Kucch Luv Jaisaa,0,2011,105,Drama,tt6272828,5.6,3109.0
198,Half Girlfriend (film),tt5474042,https://upload.wikimedia.org/wikipedia/en/thumb/6/6e/Half_Girlfriend_Poster.jpg/220px-Half_Girlfriend_Poster.jpg,https://en.wikipedia.org/wiki/Half_Girlfriend_(film),tt1947973,Bin Bulaye Baraati,Bin Bulaye Baraati,0,2011,133,Action|Comedy|Crime,tt6173826,5.4,1279.0
199,Meri Pyaari Bindu,tt5472374,https://upload.wikimedia.org/wikipedia/en/thumb/a/a0/Meri_Pyaari_Bindu.jpg/220px-Meri_Pyaari_Bindu.jpg,https://en.wikipedia.org/wiki/Meri_Pyaari_Bindu,tt1948047,Impatient Vivek,Impatient Vivek,0,2011,\N,Comedy|Drama|Romance,tt6967980,7.5,14907.0
200,Sachin: A Billion Dreams,tt4640206,https://upload.wikimedia.org/wikipedia/en/thumb/8/86/Sachin_A_Billion_Dreams_Poster.jpg/220px-Sachin_A_Billion_Dreams_Poster.jpg,https://en.wikipedia.org/wiki/Sachin:_A_Billion_Dreams,tt1948150,Singham,Singham,0,2011,143,Action|Drama,tt6711660,6.9,1508.0
201,Hindi Medium,tt5764096,https://upload.wikimedia.org/wikipedia/en/thumb/f/f4/Hindi_Medium_poster.jpg/220px-Hindi_Medium_poster.jpg,https://en.wikipedia.org/wiki/Hindi_Medium_(film),tt1949548,Heroine,Heroine,0,2012,149,Drama,tt4910010,8.2,28.0
202,Thodi Thodi Si Manmaaniyan,tt6750100,https://upload.wikimedia.org/wikipedia/en/thumb/4/46/New_Poster_of_Thodi_Thodi_Si_Manmaaniyan.jpg/220px-New_Poster_of_Thodi_Thodi_Si_Manmaaniyan.jpg,https://en.wikipedia.org/wiki/Thodi_Thodi_Si_Manmaaniyan,tt1954206,The Dirty Picture,The Dirty Picture,0,2011,144,Biography|Drama,tt5617172,5.7,257.0
203,Sweetiee Weds NRI,tt5544662,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Sweetiee_Weds_NRI_-_Movie_Poster.jpg/220px-Sweetiee_Weds_NRI_-_Movie_Poster.jpg,https://en.wikipedia.org/wiki/Sweetiee_Weds_NRI,tt1954470,Gangs of Wasseypur,Gangs of Wasseypur,0,2012,321,Action|Comedy|Crime,tt6971752,6.9,6815.0
204,Dobaara: See Your Evil,tt4552486,https://upload.wikimedia.org/wikipedia/en/thumb/e/e2/Dobaara_Official_Poster.jpg/220px-Dobaara_Official_Poster.jpg,https://en.wikipedia.org/wiki/Dobaara:_See_Your_Evil,tt1954470,Gangs of Wasseypur,Gangs of Wasseypur,0,2012,321,Action|Comedy|Crime,tt6080746,8.3,341.0
205,Hanuman: Da' Damdaar,,https://upload.wikimedia.org/wikipedia/en/thumb/a/a9/Hanuman_Da%27_Damdaar_Poster.jpg/220px-Hanuman_Da%27_Damdaar_Poster.jpg,https://en.wikipedia.org/wiki/Hanuman:_Da%27_Damdaar,tt1954598,Ladies vs. Ricky Bahl,Ladies vs. Ricky Bahl,0,2011,140,Comedy|Drama|Romance,tt6926486,6.3,1369.0
206,Flat 211,tt4493550,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/32px-Flag_of_India.svg.png,https://en.wikipedia.org/wiki/Flat_211,tt1956433,Ata Pata Lapatta,Ata Pata Lapatta,0,2012,120,Comedy|Musical,tt6405126,5.3,2681.0
207,Dear Maya,tt6033536,https://upload.wikimedia.org/wikipedia/en/thumb/3/35/Dear_Maya_-_Poster.jpg/220px-Dear_Maya_-_Poster.jpg,https://en.wikipedia.org/wiki/Dear_Maya,tt1961530,Tell Me O Kkhuda,Tell Me O Kkhuda,0,2011,125,Action|Crime|Drama,tt5697870,6.2,2294.0
208,Raabta (film),tt5542802,https://upload.wikimedia.org/wikipedia/en/thumb/8/8b/Raabta_poster.jpg/220px-Raabta_poster.jpg,https://en.wikipedia.org/wiki/Raabta_(film),tt1971310,5 Weddings,5 Weddings,0,2018,90,Comedy|Drama|Romance,tt5613834,6.3,4400.0
209,Behen Hogi Teri,tt6537508,https://upload.wikimedia.org/wikipedia/en/thumb/c/c0/Behen_Hogi_Teri_poster.jpg/220px-Behen_Hogi_Teri_poster.jpg,https://en.wikipedia.org/wiki/Behen_Hogi_Teri,tt1971365,Dangerous Ishq,Dangerous Ishhq,0,2012,130,Fantasy|Mystery|Romance,tt4977530,6.7,5993.0
210,Tubelight (2017 Hindi film),tt5882970,https://upload.wikimedia.org/wikipedia/en/thumb/0/04/Tubelight_Poster.jpg/220px-Tubelight_Poster.jpg,https://en.wikipedia.org/wiki/Tubelight_(2017_Hindi_film),tt1980970,Gandhi to Hitler,Gandhi to Hitler,0,2011,108,Drama|History|War,tt3209826,3.9,276.0
211,Bank Chor,tt3611266,https://upload.wikimedia.org/wikipedia/en/thumb/1/13/Bank_Chor_Poster.jpg/220px-Bank_Chor_Poster.jpg,https://en.wikipedia.org/wiki/Bank_Chor,tt1980986,Housefull 2,Housefull 2,0,2012,145,Action|Comedy|Musical,tt6484982,7.7,13697.0
212,Ek Haseena Thi Ek Deewana Tha,tt6349528,https://upload.wikimedia.org/wikipedia/en/thumb/e/ee/Ek_Haseena_Thi_Ek_Deewana_Tha_Official_Poster.jpg/220px-Ek_Haseena_Thi_Ek_Deewana_Tha_Official_Poster.jpg,https://en.wikipedia.org/wiki/Ek_Haseena_Thi_Ek_Deewana_Tha,tt1985981,Desi Boyz,Desi Boyz,0,2011,122,Comedy|Drama,tt7340684,6.2,40.0
213,Jagga Jasoos,tt4129428,https://upload.wikimedia.org/wikipedia/en/thumb/9/94/JaggaJasoosPoster.jpg/220px-JaggaJasoosPoster.jpg,https://en.wikipedia.org/wiki/Jagga_Jasoos,tt1986040,Ishkq in Paris,Ishkq in Paris,0,2013,95,Comedy|Romance,tt6265988,5.3,1519.0
214,Shab (film),tt4287778,https://upload.wikimedia.org/wikipedia/en/thumb/3/33/Shab_-_Poster.jpg/220px-Shab_-_Poster.jpg,https://en.wikipedia.org/wiki/Shab_(film),tt1992138,Force,Force,0,2011,137,Action|Thriller,tt6512784,4.2,976.0
215,Lipstick Under My Burkha,tt4807830,https://upload.wikimedia.org/wikipedia/en/thumb/2/23/Lipstick_Under_My_Burkha_%282017%29.jpg/220px-Lipstick_Under_My_Burkha_%282017%29.jpg,https://en.wikipedia.org/wiki/Lipstick_Under_My_Burkha,tt1999935,Not a Love Story,Not a Love Story,0,2011,100,Crime|Drama|Thriller,tt5463608,6.5,13.0
216,Bachche Kachche Sachche,tt9574388,,https://en.wikipedia.org/wiki/Bachche_Kachche_Sachche,tt2009592,The Blueberry Hunt,The Blueberry Hunt,0,2016,110,Action|Thriller,tt2361746,6.4,3144.0
217,G Kutta Se,tt4307132,https://upload.wikimedia.org/wikipedia/en/thumb/7/7e/G_Kutta_Se_film_poster.jpg/220px-G_Kutta_Se_film_poster.jpg,https://en.wikipedia.org/wiki/G_Kutta_Se,tt2012576,Bubble Gum,Bubble Gum,0,2011,116,Drama,tt6352548,5.5,1272.0
218,Indu Sarkar,tt6620324,https://upload.wikimedia.org/wikipedia/en/thumb/5/5b/Indu_Sarkar.jpg/220px-Indu_Sarkar.jpg,https://en.wikipedia.org/wiki/Indu_Sarkar,tt2016894,Ek Tha Tiger,Ek Tha Tiger,0,2012,132,Action|Romance|Thriller,tt5690142,7.3,7355.0
219,Jab Harry Met Sejal,tt5997666,https://upload.wikimedia.org/wikipedia/en/thumb/d/d1/Jab_Harry_Met_Sejal_poster.jpg/220px-Jab_Harry_Met_Sejal_poster.jpg,https://en.wikipedia.org/wiki/Jab_Harry_Met_Sejal,tt2023645,Phhir,Phhir,0,2011,100,Drama|Mystery|Romance,tt5745450,5.7,1781.0
220,Munna Michael,tt6117702,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Munna_Michael_Poster.jpg/220px-Munna_Michael_Poster.jpg,https://en.wikipedia.org/wiki/Munna_Michael,tt2027138,Kyaa Super Kool Hain Hum,Kyaa Super Kool Hain Hum,0,2012,136,Comedy,tt7154994,7.4,69.0
221,Toilet: Ek Prem Katha,tt5785170,https://upload.wikimedia.org/wikipedia/en/thumb/1/12/Toilet_Ek_Prem_Katha.jpg/220px-Toilet_Ek_Prem_Katha.jpg,https://en.wikipedia.org/wiki/Toilet:_Ek_Prem_Katha,tt2032530,Shabri,Shabri,0,2011,\N,Action|Crime|Drama,tt7341406,6.4,383.0
222,Mubarakan,tt6272828,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Mubarakan_Poster.jpg/220px-Mubarakan_Poster.jpg,https://en.wikipedia.org/wiki/Mubarakan,tt2033947,Aazaan,Aazaan,0,2011,125,Action|Drama|Mystery,tt6108090,7.9,17698.0
223,Guest iin London,tt6173826,https://upload.wikimedia.org/wikipedia/en/thumb/f/fb/GuestInLondon.jpg/220px-GuestInLondon.jpg,https://en.wikipedia.org/wiki/Guest_Iin_London,tt2034011,Hum Tum Shabana,Hum Tum Shabana,0,2011,126,Comedy|Crime|Drama,tt7471004,6.8,1655.0
224,Bareilly Ki Barfi,tt6967980,https://upload.wikimedia.org/wikipedia/en/thumb/9/97/Bareilly_Ki_Barfi_Poster.jpg/220px-Bareilly_Ki_Barfi_Poster.jpg,https://en.wikipedia.org/wiki/Bareilly_Ki_Barfi,tt2057441,Mujhse Fraaandship Karoge,Mujhse Fraaandship Karoge,0,2011,106,Comedy|Romance,tt6997642,6.9,444.0
225,Babumoshai Bandookbaaz,tt6711660,https://upload.wikimedia.org/wikipedia/en/thumb/d/d0/Babumoshai_Bandookbaaz_-_Poster.jpg/220px-Babumoshai_Bandookbaaz_-_Poster.jpg,https://en.wikipedia.org/wiki/Babumoshai_Bandookbaaz,tt2063745,Kya Dilli Kya Lahore,Kya Dilli Kya Lahore,0,2014,98,Drama|History|War,tt7469726,7.6,10334.0
226,Yadvi – The Dignified Princess,tt4910010,https://upload.wikimedia.org/wikipedia/en/thumb/1/16/Poster_of_Yadvi_The_Dignified_Princess.jpg/220px-Poster_of_Yadvi_The_Dignified_Princess.jpg,https://en.wikipedia.org/wiki/Yadvi_%E2%80%93_The_Dignified_Princess,tt2066062,Shortcut Romeo,Shortcut Romeo,0,2013,146,Action|Crime|Romance,tt3338188,4.6,140.0
227,Qaidi Band,tt5617172,https://upload.wikimedia.org/wikipedia/en/thumb/4/4f/Qaidi_Band_Poster.jpg/220px-Qaidi_Band_Poster.jpg,https://en.wikipedia.org/wiki/Qaidi_Band,tt2066925,Mummy Punjabi: Superman Ki Bhi Maa!!,Mummy Punjabi: Superman Ki Bhi Maa!!,0,2011,121,Comedy|Drama,tt7399470,7.0,4707.0
228,Shubh Mangal Saavdhan,tt6971752,https://upload.wikimedia.org/wikipedia/en/thumb/b/be/Shubh_Mangal_Savdhan_Poster.jpg/220px-Shubh_Mangal_Savdhan_Poster.jpg,https://en.wikipedia.org/wiki/Shubh_Mangal_Savdhan_(2017_film),tt2072227,Shanghai,Shanghai,0,2012,120,Crime|Mystery|Thriller,tt5784860,3.7,363.0
229,Raag Desh (film),tt6080746,https://upload.wikimedia.org/wikipedia/en/thumb/a/ad/Raag_Desh_-_Poster.jpg/220px-Raag_Desh_-_Poster.jpg,https://en.wikipedia.org/wiki/Raagdesh,tt2073070,Saheb Biwi Aur Gangster,Saheb Biwi Aur Gangster,0,2011,118,Action|Crime|Drama,tt7571718,8.0,45.0
230,Daddy (2017 film),tt6926486,https://upload.wikimedia.org/wikipedia/en/thumb/6/6b/Daddy_Film_Poster.jpg/220px-Daddy_Film_Poster.jpg,https://en.wikipedia.org/wiki/Daddy_(2017_film),tt2082197,Barfi!,Barfi!,0,2012,151,Comedy|Drama|Romance,tt6791730,7.0,4027.0
231,Simran (film),tt6405126,https://upload.wikimedia.org/wikipedia/en/thumb/d/d3/Simran_Poster.jpg/220px-Simran_Poster.jpg,https://en.wikipedia.org/wiki/Simran_(film),tt2094854,Inkaar,Inkaar,0,2013,125,Drama|Romance|Thriller,tt5743888,2.5,250.0
232,Lucknow Central,tt5697870,https://upload.wikimedia.org/wikipedia/en/thumb/a/a5/Lucknow_Central_-_Poster.jpg/220px-Lucknow_Central_-_Poster.jpg,https://en.wikipedia.org/wiki/Lucknow_Central,tt2100543,Hum Hai Raahi CAR Ke,Hum Hai Raahi CAR Ke,0,2013,\N,Comedy|Romance,tt6143422,8.0,565.0
233,A Gentleman,tt5613834,https://upload.wikimedia.org/wikipedia/en/thumb/c/c6/A_Gentleman.jpg/220px-A_Gentleman.jpg,https://en.wikipedia.org/wiki/A_Gentleman_(2017_film),tt2104937,Miley - Naa Miley - Hum,Miley - Naa Miley - Hum,0,2011,114,Comedy|Drama|Romance,tt7549484,4.5,913.0
234,Viceroy's House (film),tt4977530,https://upload.wikimedia.org/wikipedia/en/f/f3/Viceroy%27s_House_%28film%29.png,https://en.wikipedia.org/wiki/Partition:_1947,tt2106537,Matru ki Bijlee ka Mandola,Matru ki Bijlee ka Mandola,0,2013,151,Comedy|Drama,tt6712014,6.5,4105.0
235,Patel Ki Punjabi Shaadi,tt3209826,https://upload.wikimedia.org/wikipedia/en/thumb/3/32/Patel_Ki_Punjabi_Shaadi_-_Movie_Poster.jpg/220px-Patel_Ki_Punjabi_Shaadi_-_Movie_Poster.jpg,https://en.wikipedia.org/wiki/Patel_Ki_Punjabi_Shaadi,tt2112124,Chennai Express,Chennai Express,0,2013,141,Action|Comedy,tt2198235,6.5,801.0
236,Newton (film),tt6484982,https://upload.wikimedia.org/wikipedia/en/6/68/Newton_%28film%29.png,https://en.wikipedia.org/wiki/Newton_(film),tt2112131,Dabangg 2,Dabangg 2,0,2012,120,Action|Comedy,tt6471054,7.0,602.0
237,The Final Exit,tt7340684,https://upload.wikimedia.org/wikipedia/en/thumb/f/fa/The_Final_Exit_-_Poster.jpg/220px-The_Final_Exit_-_Poster.jpg,https://en.wikipedia.org/wiki/The_Final_Exit_(film),tt2112978,Jo Hum Chahein,Jo Hum Chahein,0,2011,\N,Drama|Romance,tt4600778,6.5,564.0
238,Bhoomi (film),tt6265988,https://upload.wikimedia.org/wikipedia/en/thumb/7/70/Bhoomi_Poster.jpg/220px-Bhoomi_Poster.jpg,https://en.wikipedia.org/wiki/Bhoomi_(film),tt2122340,Ferrari Ki Sawaari,Ferrari Ki Sawaari,0,2012,140,Comedy|Drama|Family,tt4659548,6.8,230.0
239,Haseena Parkar,tt6512784,https://upload.wikimedia.org/wikipedia/en/thumb/a/ab/Haseena_Parkar_-_Poster.jpg/220px-Haseena_Parkar_-_Poster.jpg,https://en.wikipedia.org/wiki/Haseena_Parkar,tt2126282,Ekk Deewana Tha,Ekk Deewana Tha,0,2012,136,Drama|Romance,tt4844708,7.4,18.0
240,JD (film),tt5463608,https://upload.wikimedia.org/wikipedia/en/5/52/JD_%28film%29_poster.jpg,https://en.wikipedia.org/wiki/JD_(film),tt2130242,Tere Naal Love Ho Gaya,Tere Naal Love Ho Gaya,0,2012,130,Comedy|Drama|Romance,tt4387040,8.0,49498.0
241,Haraamkhor,tt2361746,https://upload.wikimedia.org/wikipedia/en/thumb/c/c7/Haraamkhor.jpg/220px-Haraamkhor.jpg,https://en.wikipedia.org/wiki/Haraamkhor,tt2137241,Rock On 2,Rock On 2,0,2016,143,Drama|Music,tt7722484,3.9,28.0
242,Poster Boys,tt6352548,https://upload.wikimedia.org/wikipedia/en/thumb/b/b5/Poster_Boys_poster.jpg/220px-Poster_Boys_poster.jpg,https://en.wikipedia.org/wiki/Poster_Boys_(film),tt2140465,Tanu Weds Manu Returns,Tanu Weds Manu Returns,0,2015,128,Comedy|Drama|Romance,tt5310090,7.6,10507.0
243,Mom (film),tt5690142,https://upload.wikimedia.org/wikipedia/en/thumb/1/1d/Mom_film_poster.jpg/220px-Mom_film_poster.jpg,https://en.wikipedia.org/wiki/Mom_(film),tt2140465,Tanu Weds Manu Returns,Tanu Weds Manu Returns,0,2015,128,Comedy|Drama|Romance,tt5290620,1.9,3899.0
244,Chef (2017 film),tt5745450,https://upload.wikimedia.org/wikipedia/en/thumb/0/01/Chef_-_Poster.jpg/220px-Chef_-_Poster.jpg,https://en.wikipedia.org/wiki/Chef_(2017_film),tt2150177,Brother Superhit!,Bhaiaji Superhit,0,2018,139,Action|Comedy|Drama,tt3726012,2.3,2343.0
245,Ranchi Diaries,tt7154994,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Ranchi_Diaries_Poster.jpg/220px-Ranchi_Diaries_Poster.jpg,https://en.wikipedia.org/wiki/Ranchi_Diaries,tt2156785,Gattu,Gattu,0,2011,90,Drama,tt7585620,7.0,77.0
246,Babuji Ek Ticket Bambai,tt7881528,https://upload.wikimedia.org/wikipedia/en/thumb/4/46/Babuji_Ek_Ticket_Bambai.jpg/220px-Babuji_Ek_Ticket_Bambai.jpg,https://en.wikipedia.org/wiki/Babuji_Ek_Ticket_Bambai,tt2158633,Married 2 America,Married 2 America,0,2012,\N,Thriller,tt3453964,6.2,126.0
247,Rukh (film),tt7341406,https://upload.wikimedia.org/wikipedia/en/thumb/8/89/Rukh_-_Movie_Poster.jpg/220px-Rukh_-_Movie_Poster.jpg,https://en.wikipedia.org/wiki/Rukh_(film),tt2164702,Zindagi Tere Naam,Zindagi Tere Naam,0,2012,120,Romance,tt4683366,6.4,4707.0
248,Secret Superstar,tt6108090,https://upload.wikimedia.org/wikipedia/en/thumb/5/50/Secret_Superstar_-_Poster_3.jpg/220px-Secret_Superstar_-_Poster_3.jpg,https://en.wikipedia.org/wiki/Secret_Superstar,tt2168910,Cocktail,Cocktail,0,2012,146,Comedy|Drama|Romance,tt4399594,5.4,3991.0
249,Main Page,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Presidentes_del_Per%C3%BA_y_Bolivia_inauguran_Encuentro_Presidencial_y_III_Gabinete_Binacional_Per%C3%BA-Bolivia_%2836962597345%29_%28cropped%29.jpg/120px-Presidentes_del_Per%C3%BA_y_Bolivia_inauguran_Encuentro_Presidencial_y_III_Gabinete_Binacional_Per%C3%BA-Bolivia_%2836962597345%29_%28cropped%29.jpg,https://en.wikipedia.org/wiki/Main_Page,tt2171454,Zila Ghaziabad,Zila Ghaziabad,0,2013,142,Action|Crime|Thriller,tt4262516,3.1,2622.0
250,Aval (2017 film),tt7471004,https://upload.wikimedia.org/wikipedia/en/thumb/6/68/The_House_Next_Door_-_Poster.jpg/220px-The_House_Next_Door_-_Poster.jpg,https://en.wikipedia.org/wiki/The_House_Next_Door_(2017_film),tt2172071,Student of the Year,Student of the Year,0,2012,146,Comedy|Drama|Romance,tt4340180,4.0,62.0
251,Ribbon (film),tt6997642,https://upload.wikimedia.org/wikipedia/en/thumb/4/46/Ribbon_-_Poster.jpg/220px-Ribbon_-_Poster.jpg,https://en.wikipedia.org/wiki/Ribbon_(film),tt2175671,Ghost,Ghost,0,2012,118,Horror,tt4979160,3.8,89.0
