,title,imdb_id,poster_path,wiki_link,imdb_id,title,original_title,is_adult,year_of_release,runtime,genres,imdb_id,imdb_rating,imdb_votes
12,Daata,tt0405852,https://upload.wikimedia.org/wikipedia/en/thumb/0/00/Daatafilm.jpg/220px-Daatafilm.jpg,https://en.wikipedia.org/wiki/Daata,tt0044360,Anhonee,Anhonee,0,1952,155,Drama|Romance|Thriller,tt0097143,7.4,172
13,Awara Zindagi,tt0423844,,https://en.wikipedia.org/wiki/Awara_Zindagi,tt0044361,Anjaam,Anjaam,0,1952,\N,\N,tt0373778,5.4,16
14,Dav Pech,tt0926191,https://upload.wikimedia.org/wikipedia/en/thumb/7/7d/Dav_Pech.jpg/220px-Dav_Pech.jpg,https://en.wikipedia.org/wiki/Dav_Pech,tt0044392,Baiju Bawra,Baiju Bawra,0,1952,165,Drama|Musical|Romance,tt0097045,6.8,1425
15,Daddy (1989 film),tt0097143,,https://en.wikipedia.org/wiki/Daddy_(1989_film),tt0044527,Daag,Daag,0,1952,149,Drama|Romance,tt0097264,7.3,418
16,Dana Paani,tt0373778,https://upload.wikimedia.org/wikipedia/en/9/99/Dana_Paanifilm.jpg,https://en.wikipedia.org/wiki/Dana_Paani,tt0044761,Jaal,Jaal,0,1952,165,Crime|Thriller,tt0359169,5.3,91
17,Chandni,tt0097045,https://upload.wikimedia.org/wikipedia/en/thumb/6/66/Chandni_poster.jpg/220px-Chandni_poster.jpg,https://en.wikipedia.org/wiki/Chandni,tt0044769,Jhansi Ki Rani,Jhansi Ki Rani,0,1953,148,Biography|Drama|History,tt0187043,5.5,68
18,Eeshwar (1989 film),tt0097264,https://upload.wikimedia.org/wikipedia/en/thumb/6/64/Eshwarfilm.jpg/220px-Eshwarfilm.jpg,https://en.wikipedia.org/wiki/Eeshwar_(1989_film),tt0045467,Aah,Aah,0,1953,150,Drama|Musical|Romance,tt0215789,5.2,31
19,Desh Ke Dushman,,,https://en.wikipedia.org/wiki/Desh_Ke_Dushman,tt0045506,Anarkali,Anarkali,0,1953,175,History|Musical|Romance,tt0172509,6.0,37
20,Do Qaidi,tt0359169,https://upload.wikimedia.org/wikipedia/en/thumb/4/42/Do_Qaidi.jpg/220px-Do_Qaidi.jpg,https://en.wikipedia.org/wiki/Do_Qaidi,tt0045524,Aurat,Aurat,0,1953,\N,Action|Adventure|Drama,tt0093182,6.3,241
21,Gair Kanooni,tt0187043,https://upload.wikimedia.org/wikipedia/en/thumb/6/66/Gair-kanooni.jpg/220px-Gair-kanooni.jpg,https://en.wikipedia.org/wiki/Gair_Kanooni,tt0045529,Baaz,Baaz,0,1953,140,Action|Adventure|Drama,tt0363634,6.1,56
22,Gawaahi,tt0215789,,https://en.wikipedia.org/wiki/Gawaahi,tt0045693,Do Bigha Zamin,Do Bigha Zamin,0,1953,131,Drama,tt0097466,6.6,94
23,Chingari (1989 film),tt0172509,,https://en.wikipedia.org/wiki/Chingari_(1989_film),tt0046164,The Fiancee,Parineeta,0,1953,151,Drama|Romance,tt0172509,6.0,37
24,Hero Hiralal,tt0093182,https://upload.wikimedia.org/wikipedia/en/thumb/1/13/Hero_Hiralal.jpg/220px-Hero_Hiralal.jpg,https://en.wikipedia.org/wiki/Hero_Hiralal,tt0046673,Aar-Paar,Aar-Paar,0,1954,146,Musical|Romance|Thriller,tt0089382,5.7,231
25,Ghar Ka Chiraag,tt0363634,https://upload.wikimedia.org/wikipedia/en/thumb/3/36/Ghar_Ka_Chiraag_1989.jpg/220px-Ghar_Ka_Chiraag_1989.jpg,https://en.wikipedia.org/wiki/Ghar_Ka_Chiraag,tt0046703,Amar,Amar,0,1954,149,Drama|Musical|Romance,tt0097513,5.8,29
26,Guru (1989 film),tt0097466,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/GuruMithun.jpg/220px-GuruMithun.jpg,https://en.wikipedia.org/wiki/Guru_(1989_film),tt0046780,Biraj Bahu,Biraj Bahu,0,1954,145,Drama,tt0359442,6.0,25
27,Goonj (1989 film),tt0172509,https://upload.wikimedia.org/wikipedia/en/d/d3/Goonjhindifilm.png,https://en.wikipedia.org/wiki/Goonj_(1989_film),tt0046799,Boot Polish,Boot Polish,0,1954,149,Comedy|Drama|Family,tt0097563,4.7,120
28,Joshilaay,tt0089382,https://upload.wikimedia.org/wikipedia/en/thumb/f/f2/Joshilaay_poster.jpg/220px-Joshilaay_poster.jpg,https://en.wikipedia.org/wiki/Joshilaay,tt0046799,Boot Polish,Boot Polish,0,1954,149,Comedy|Drama|Family,tt0097609,4.0,433
29,Hisaab Khoon Ka,tt0097513,https://upload.wikimedia.org/wikipedia/en/thumb/f/fb/HisaabKhoonfilm.jpg/220px-HisaabKhoonfilm.jpg,https://en.wikipedia.org/wiki/Hisaab_Khoon_Ka,tt0047060,Hamlet,Hamlet,0,1954,\N,Drama,tt0363691,6.1,17
30,Hum Bhi Insaan Hain (1989 film),tt0359442,,https://en.wikipedia.org/wiki/Hum_Bhi_Insaan_Hain_(1989_film),tt0047271,Naukari,Naukari,0,1954,\N,Drama|Family,tt0427400,4.3,12
31,Ilaaka,tt0097563,https://upload.wikimedia.org/wikipedia/en/7/7e/Ilaaka_poster.jpg,https://en.wikipedia.org/wiki/Ilaaka,tt0047439,Sailaab,Sailaab,0,1956,\N,Drama|Family,tt0373935,5.6,185
32,Jaadugar,tt0097609,https://upload.wikimedia.org/wikipedia/en/c/ce/Jaadugar.jpg,https://en.wikipedia.org/wiki/Jaadugar,tt0047561,Taxi Driver,Taxi Driver,0,1954,133,Musical|Romance,tt0097642,5.4,116
33,Hum Intezaar Karenge,tt0363691,https://upload.wikimedia.org/wikipedia/en/thumb/9/97/HumIntezaarKarenge89.jpg/220px-HumIntezaarKarenge89.jpg,https://en.wikipedia.org/wiki/Hum_Intezaar_Karenge,tt0047796,Abe Hayat,Abe Hayat,0,1955,\N,Action|Adventure|Fantasy,tt0246727,6.2,20
34,Jaaydaad,tt0427400,,https://en.wikipedia.org/wiki/Jaaydaad,tt0047816,Amaanat,Amaanat,0,1955,\N,Drama|Family,tt0097640,5.5,172
35,Jaisi Karni Waisi Bharnii,tt0373935,,https://en.wikipedia.org/wiki/Jaisi_Karni_Waisi_Bharnii,tt0047990,Devdas,Devdas,0,1955,159,Drama|Musical|Romance,tt0233990,5.7,58
36,Kahan Hai Kanoon,tt0363730,,https://en.wikipedia.org/wiki/Kahan_Hai_Kanoon,tt0048181,House No. 44,House No. 44,0,1955,\N,Crime|Drama,tt0366696,6.4,39
37,Kanoon Apna Apna,tt0097642,https://upload.wikimedia.org/wikipedia/en/thumb/f/f9/Kanoon-Apna-Apna-1989.jpg/220px-Kanoon-Apna-Apna-1989.jpg,https://en.wikipedia.org/wiki/Kanoon_Apna_Apna,tt0048271,Kundan,Kundan,0,1955,150,Crime|Drama,tt0275466,6.0,34
38,Khayal Gatha,tt0246727,,https://en.wikipedia.org/wiki/Khayal_Gatha,tt0048392,Mr. & Mrs. '55,Mr. & Mrs. '55,0,1955,157,Comedy|Musical|Romance,tt0319787,5.7,29
39,Kala Bazaar,tt0097640,https://upload.wikimedia.org/wikipedia/en/thumb/d/d0/KalaBazaarfilm.jpg/220px-KalaBazaarfilm.jpg,https://en.wikipedia.org/wiki/Kala_Bazaar,tt0048395,Munimji,Munimji,0,1955,163,Comedy|Musical|Romance,tt0097784,5.7,788
40,Jung Baaz,tt0233990,,https://en.wikipedia.org/wiki/Jung_Baaz,tt0048410,Nagin,Nagin,0,1954,139,Drama|Musical|Romance,tt0097812,7.3,648
41,Ladaai,tt0366696,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Ladaaifilm.jpg/220px-Ladaaifilm.jpg,https://en.wikipedia.org/wiki/Ladaai,tt0048537,Railway Platform,Railway Platform,0,1955,162,Comedy|Drama|Romance,tt0097813,5.2,53
42,Lal Dupatta Malmal Ka,,https://upload.wikimedia.org/wikipedia/en/thumb/c/c6/LalDupatt.jpg/220px-LalDupatt.jpg,https://en.wikipedia.org/wiki/Lal_Dupatta_Malmal_Ka,tt0048613,Shree 420,Shree 420,0,1955,168,Comedy|Crime|Drama,tt0187351,5.2,248
43,Lashkar (film),tt0275466,https://upload.wikimedia.org/wikipedia/en/thumb/5/5e/Lashkar_poster.jpg/220px-Lashkar_poster.jpg,https://en.wikipedia.org/wiki/Lashkar_(film),tt0048756,Uran Khatola,Uran Khatola,0,1955,151,Fantasy|Musical|Romance,tt0097926,5.6,118
44,Mahaadev,tt0319787,https://upload.wikimedia.org/wikipedia/en/thumb/7/7e/Mahaadevfilm.jpg/220px-Mahaadevfilm.jpg,https://en.wikipedia.org/wiki/Mahaadev,tt0048756,Uran Khatola,Uran Khatola,0,1955,151,Fantasy|Musical|Romance,tt0154820,6.6,12
45,Love Love Love (1989 film),tt0097784,https://upload.wikimedia.org/wikipedia/en/thumb/6/66/LoveLoveLove.jpg/220px-LoveLoveLove.jpg,https://en.wikipedia.org/wiki/Love_Love_Love_(1989_film),tt0048816,Yasmin,Yasmin,0,1955,\N,Musical|Romance,tt0232276,5.7,6
46,Main Azaad Hoon,tt0097812,https://upload.wikimedia.org/wikipedia/en/thumb/3/3f/Main_Azaad_Hoon.jpg/220px-Main_Azaad_Hoon.jpg,https://en.wikipedia.org/wiki/Main_Azaad_Hoon,tt0048987,Basant Bahar,Basant Bahar,0,1956,150,Drama|Musical|Romance,tt0102705,5.9,191
47,Main Tera Dushman,tt0097813,https://upload.wikimedia.org/wikipedia/en/thumb/b/bc/Main_Tera_Dushman.jpg/220px-Main_Tera_Dushman.jpg,https://en.wikipedia.org/wiki/Main_Tera_Dushman,tt0049041,C.I.D.,C.I.D.,0,1956,146,Action|Crime|Musical,tt0260303,5.2,194
48,Nigahen: Nagina Part II,tt0187351,https://upload.wikimedia.org/wikipedia/en/thumb/d/da/Nigahen2.jpg/220px-Nigahen2.jpg,https://en.wikipedia.org/wiki/Nigahen:_Nagina_Part_II,tt0049071,Chhoo Mantar,Chhoo Mantar,0,1956,\N,Comedy,tt0260336,5.0,30
49,Mujrim,tt0097926,https://upload.wikimedia.org/wikipedia/en/thumb/d/d8/Mujrim_1989_big.jpg/220px-Mujrim_1989_big.jpg,https://en.wikipedia.org/wiki/Mujrim,tt0049072,Chori Chori,Chori Chori,0,1956,158,Musical|Romance,tt0155131,5.7,35
50,Main Tere Liye,tt0154820,,https://en.wikipedia.org/wiki/Main_Tere_Liye,tt0049072,Chori Chori,Chori Chori,0,1956,158,Musical|Romance,tt0359965,5.0,27
51,Mahal (1989 film),tt0261035,,https://en.wikipedia.org/wiki/Mahal_(1989_film),tt0049138,Devta,Devta,0,1956,178,Adventure|Drama,tt0155175,5.0,23
52,Paraya Ghar,tt0232276,,https://en.wikipedia.org/wiki/Paraya_Ghar,tt0049175,Ek-Hi-Rasta,Ek-Hi-Rasta,0,1956,151,Drama,tt0360051,6.7,37
53,Prem Pratigyaa,tt0102705,https://upload.wikimedia.org/wikipedia/en/thumb/7/7a/Prem_Pratigyaa_%281989%29.jpg/220px-Prem_Pratigyaa_%281989%29.jpg,https://en.wikipedia.org/wiki/Prem_Pratigyaa,tt0049243,Funtoosh,Funtoosh,0,1956,\N,Comedy|Drama,tt0098491,4.8,566
54,Purani Haveli (film),tt0260303,,https://en.wikipedia.org/wiki/Purani_Haveli_(film),tt0049378,Stay Alert,Jagte Raho,0,1956,153,Comedy|Drama,tt0102636,7.9,2791
55,Sachai Ki Taqat,tt0260336,https://upload.wikimedia.org/wikipedia/en/9/94/Sachai_Ki_Taqat_Movie_Poster.jpg,https://en.wikipedia.org/wiki/Sachai_Ki_Taqat,tt0049412,Kismet Ka Khel,Kismet Ka Khel,0,1956,137,Action|Crime|Drama,tt0290820,7.6,1019
56,Rakhwala (1989 film),,https://upload.wikimedia.org/wikipedia/en/thumb/0/0a/Rakhwala_1989.jpg/220px-Rakhwala_1989.jpg,https://en.wikipedia.org/wiki/Rakhwala_(1989_film),tt0049545,Naya Andaz,Naya Andaz,0,1956,\N,Romance,tt0374310,6.0,9
57,Sachché Ká Bol-Bálá,tt0155131,https://upload.wikimedia.org/wikipedia/en/thumb/1/1f/Sachch%C3%A9_K%C3%A1_Bol-B%C3%A1l%C3%A1.jpg/220px-Sachch%C3%A9_K%C3%A1_Bol-B%C3%A1l%C3%A1.jpg,https://en.wikipedia.org/wiki/Sachch%C3%A9_K%C3%A1_Bol-B%C3%A1l%C3%A1,tt0049549,New Delhi,New Delhi,0,1956,176,Comedy|Drama|Musical,tt0100857,4.6,136
58,Shehzaade,tt0359965,https://upload.wikimedia.org/wikipedia/en/thumb/e/ec/Shehzaadefilm.png/220px-Shehzaadefilm.png,https://en.wikipedia.org/wiki/Shehzaade,tt0049600,Patrani,Patrani,0,1956,\N,Drama|Romance,tt0173415,7.4,47
59,Sikka (film),tt0155175,,https://en.wikipedia.org/wiki/Sikka_(film),tt0049654,Rajdhani,Rajdhani,0,1956,\N,Action,tt0123370,6.8,27
60,Suryaa: An Awakening,tt0360051,https://upload.wikimedia.org/wikipedia/en/thumb/a/a3/SuryaaAnAwakening.jpg/220px-SuryaaAnAwakening.jpg,https://en.wikipedia.org/wiki/Suryaa:_An_Awakening,tt0050090,Aasha,Aasha,0,1957,171,Comedy|Romance,tt0231073,4.9,25
61,Tere Bina Kya Jeena,,,https://en.wikipedia.org/wiki/Tere_Bina_Kya_Jeena,tt0050188,Mother India,Mother India,0,1957,172,Drama|Family|Musical,tt0177505,5.3,61
62,Toofan (1989 film),tt0098491,https://upload.wikimedia.org/wikipedia/en/thumb/f/f6/Toofan_%281989%29.jpg/230px-Toofan_%281989%29.jpg,https://en.wikipedia.org/wiki/Toofan_(1989_film),tt0050322,Do Ankhen Barah Haath,Do Ankhen Barah Haath,0,1957,143,Comedy|Crime|Drama,tt0247915,5.2,22
63,Touhean,tt0364050,,https://en.wikipedia.org/wiki/Touhean,tt0050587,Kath Putli,Kath Putli,0,1957,152,Drama|Family,tt0309261,5.7,18
64,Parinda,tt0102636,https://upload.wikimedia.org/wikipedia/en/thumb/3/32/Parinda_%281989_movie_poster%29.jpg/220px-Parinda_%281989_movie_poster%29.jpg,https://en.wikipedia.org/wiki/Parinda,tt0050665,Madhumati,Madhumati,0,1958,110,Fantasy|Musical|Mystery,tt0383875,7.3,60
65,Raakh,tt0290820,https://upload.wikimedia.org/wikipedia/en/2/29/Raakh%2C_1989_Hindi_film.jpg,https://en.wikipedia.org/wiki/Raakh,tt0050665,Madhumati,Madhumati,0,1958,110,Fantasy|Musical|Mystery,tt0363407,5.3,19
66,Tujhe Nahin Chhodunga,,,https://en.wikipedia.org/wiki/Tujhe_Nahin_Chhodunga,tt0050734,Musafir,Musafir,0,1957,149,Drama,tt0388748,4.3,12
67,Ustaad (1989 film),tt0374310,,https://en.wikipedia.org/wiki/Ustaad_(1989_film),tt0050757,Nau Do Gyarah,Nau Do Gyarah,0,1957,170,Comedy|Romance|Thriller,tt0154311,5.6,38
68,Vardi (film),tt0100857,https://upload.wikimedia.org/wikipedia/en/thumb/5/56/Vardi_film_poster.jpg/220px-Vardi_film_poster.jpg,https://en.wikipedia.org/wiki/Vardi_(film),tt0050758,Naya Daur,Naya Daur,0,1957,173,Drama|Musical|Romance,tt0094720,5.1,130
69,Vicky Daada,tt0173415,https://upload.wikimedia.org/wikipedia/en/thumb/8/81/Vicky_Daada.jpg/220px-Vicky_Daada.jpg,https://en.wikipedia.org/wiki/Vicky_Dada,tt0050820,Pardesi,Pardesi,0,1957,152,Adventure|History,tt0168516,5.9,724
70,Zakham,tt2676334,https://upload.wikimedia.org/wikipedia/en/thumb/e/e5/Zakhamfilm89.png/220px-Zakhamfilm89.png,https://en.wikipedia.org/wiki/Zakham,tt0050829,Paying Guest,Paying Guest,0,1957,157,Comedy|Crime|Drama,tt0254247,7.2,70
71,Aaj Ka Robin Hood,tt0123370,,https://en.wikipedia.org/wiki/Aaj_Ka_Robin_Hood,tt0050829,Paying Guest,Paying Guest,0,1957,157,Comedy|Crime|Drama,tt0363525,4.3,137
72,Aage Ki Soch,tt0231073,,https://en.wikipedia.org/wiki/Aage_Ki_Soch,tt0050870,Pyaasa,Pyaasa,0,1957,146,Drama|Musical|Romance,tt0377738,4.9,145
73,Aag Ke Sholay,tt0270820,,https://en.wikipedia.org/wiki/Aag_Ke_Sholay,tt0050870,Pyaasa,Pyaasa,0,1957,146,Drama|Musical|Romance,tt0094958,6.6,491
74,Aakhri Adaalat,tt0177505,,https://en.wikipedia.org/wiki/Aakhri_Adaalat,tt0050956,Sharada,Sharada,0,1957,128,Drama|Musical|Romance,tt0095010,5.7,12
75,Agnee (1988 film),tt0247915,https://upload.wikimedia.org/wikipedia/en/7/77/Agnee88film.jpg,https://en.wikipedia.org/wiki/Agnee_(1988_film),tt0051117,Tumsa Nahin Dekha,Tumsa Nahin Dekha,0,1957,156,Musical|Romance,tt0359170,6.7,18
76,Akarshan,tt0309261,,https://en.wikipedia.org/wiki/Akarshan,tt0051335,12 O'Clock,12 O'Clock,0,1958,132,Drama|Mystery|Thriller,tt0448454,5.1,15
77,Andha Yudh,tt0383875,https://upload.wikimedia.org/wikipedia/en/thumb/1/1a/AndhaYudhfilm.jpg/220px-AndhaYudhfilm.jpg,https://en.wikipedia.org/wiki/Andha_Yudh,tt0051340,Adalat,Adalat,0,1958,139,Drama|Musical|Romance,tt0249492,6.9,18
78,Aaj Ke Angaare,tt0363407,,https://en.wikipedia.org/wiki/Aaj_Ke_Angaare,tt0051348,Amar Deep,Amar Deep,0,1958,148,Musical|Romance,tt0363659,4.6,11
79,Aurat Teri Yehi Kahani,tt0388748,,https://en.wikipedia.org/wiki/Aurat_Teri_Yehi_Kahani,tt0051705,Hathkadi,Hathkadi,0,1958,\N,\N,tt0359309,5.2,20
80,Charnon Ki Saugandh,tt0154311,https://upload.wikimedia.org/wikipedia/en/thumb/7/7d/Charanon88.jpg/220px-Charanon88.jpg,https://en.wikipedia.org/wiki/Charnon_Ki_Saugandh,tt0051747,Howrah Bridge,Howrah Bridge,0,1958,153,Musical|Thriller,tt0095198,4.7,509
81,Bees Saal Baad (1988 film),tt0094720,https://upload.wikimedia.org/wikipedia/en/thumb/c/cd/BeesSaal89.jpg/220px-BeesSaal89.jpg,https://en.wikipedia.org/wiki/Bees_Saal_Baad_(1988_film),tt0051806,Kala Pani,Kala Pani,0,1958,164,Crime|Musical|Romance,tt0231646,5.0,163
82,Biwi Ho To Aisi,tt0168516,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Biwi_Ho_To_Aisi.jpg/220px-Biwi_Ho_To_Aisi.jpg,https://en.wikipedia.org/wiki/Biwi_Ho_To_Aisi,tt0051842,Lajwanti,Lajwanti,0,1958,120,Drama|Family,tt0315893,5.2,33
83,Daisy (1988 film),tt0254247,https://upload.wikimedia.org/wikipedia/en/thumb/5/52/Daisy_1988_film_poster.jpg/220px-Daisy_1988_film_poster.jpg,https://en.wikipedia.org/wiki/Daisy_(1988_film),tt0052051,Parvarish,Parvarish,0,1958,129,Drama|Family,tt0243294,6.2,9
84,Commando (1988 film),tt0363525,https://upload.wikimedia.org/wikipedia/en/thumb/5/51/CommandoMithun.jpg/220px-CommandoMithun.jpg,https://en.wikipedia.org/wiki/Commando_(1988_film),tt0052065,Phagun,Phagun,0,1958,\N,Comedy|Drama|Musical,tt0314049,6.3,10
85,Dariya Dil,tt0377738,https://upload.wikimedia.org/wikipedia/en/thumb/5/51/Dariya_Dil.jpg/220px-Dariya_Dil.jpg,https://en.wikipedia.org/wiki/Dariya_Dil,tt0052116,Raj Tilak,Raj Tilak,0,1959,171,Adventure,tt0363666,7.0,326
86,Dayavan,tt0094958,https://upload.wikimedia.org/wikipedia/en/thumb/a/ad/Dayavan.jpg/220px-Dayavan.jpg,https://en.wikipedia.org/wiki/Dayavan,tt0052154,Sadhna,Sadhna,0,1958,137,Drama,tt0366593,5.1,12
87,Dharamyudh,tt0095010,,https://en.wikipedia.org/wiki/Dharamyudh,tt0052201,Sitaron Se Aage,Sitaron Se Aage,0,1958,\N,Drama|Musical,tt0095375,5.5,53
88,Do Waqt Ki Roti,tt0359170,,https://en.wikipedia.org/wiki/Do_Waqt_Ki_Roti,tt0052217,Solva Saal,Solva Saal,0,1958,135,Comedy|Romance|Thriller,tt0361772,4.8,111
89,Ek Aadmi,tt0150446,,https://en.wikipedia.org/wiki/Ek_Aadmi,tt0052411,Yahudi,Yahudi,0,1958,170,Action|Drama|Romance,tt0382771,3.8,8
90,Ek Hi Maqsad,tt0448454,,https://en.wikipedia.org/wiki/Ek_Hi_Maqsad,tt0052411,Yahudi,Yahudi,0,1958,170,Action|Drama|Romance,tt0254462,5.9,7
91,Ek Naya Rishta,tt0249492,https://upload.wikimedia.org/wikipedia/en/thumb/d/d2/Ek_Naya_Rishta.jpg/220px-Ek_Naya_Rishta.jpg,https://en.wikipedia.org/wiki/Ek_Naya_Rishta,tt0052560,Anari,Anari,0,1959,166,Comedy|Drama|Musical,tt0440530,3.5,24
92,Aakhri Nishchay,tt0178179,,https://en.wikipedia.org/wiki/Aakhri_Nishchay,tt0052560,Anari,Anari,0,1959,166,Comedy|Drama|Musical,tt0363735,4.9,15
93,Halaal Ki Kamai,tt0363659,https://upload.wikimedia.org/wikipedia/en/2/23/HalaalKiKamai.png,https://en.wikipedia.org/wiki/Halaal_Ki_Kamai,tt0052736,Dhool Ka Phool,Dhool Ka Phool,0,1959,153,Drama,tt0156663,6.2,146
94,Ganga Tere Desh Mein,tt0359309,https://upload.wikimedia.org/wikipedia/en/2/23/Ganga_Tere_Desh_Mein.jpg,https://en.wikipedia.org/wiki/Ganga_Tere_Desh_Mein,tt0052926,Insan Jaag Utha,Insan Jaag Utha,0,1959,135,Drama|Family|Musical,tt0151206,6.6,907
95,Gangaa Jamunaa Saraswati,tt0095198,https://upload.wikimedia.org/wikipedia/en/thumb/4/4a/GangaJamunafilm.jpg/220px-GangaJamunafilm.jpg,https://en.wikipedia.org/wiki/Gangaa_Jamunaa_Saraswathi,tt0052940,Jawani Ki Hawa,Jawani Ki Hawa,0,1959,143,Drama,tt0095440,4.7,155
96,Ghar Ghar Ki Kahani (1988 film),tt0231646,,https://en.wikipedia.org/wiki/Ghar_Ghar_Ki_Kahani_(1988_film),tt0052954,Kaagaz Ke Phool,Kaagaz Ke Phool,0,1959,148,Musical|Romance,tt0215931,8.2,33
97,Ghar Mein Ram Gali Mein Shyam,tt0315893,,https://en.wikipedia.org/wiki/Ghar_Mein_Ram_Gali_Mein_Shyam,tt0052960,Kanhaiya,Kanhaiya,0,1959,175,Drama|Family|Romance,tt0300160,6.9,332
98,Gunahon Ka Faisla,tt0243294,,https://en.wikipedia.org/wiki/Gunahon_Ka_Faisla,tt0053035,Main Nashe Men Hoon,Main Nashe Men Hoon,0,1959,\N,Comedy|Drama|Family,tt0366739,5.3,19
99,Faisla,tt0314049,,https://en.wikipedia.org/wiki/Faisla,tt0053152,Paigham,Paigham,0,1959,188,Drama,tt0446395,7.6,43
100,Hatya,tt0363666,https://upload.wikimedia.org/wikipedia/en/thumb/9/9e/Hatyafilmnew.jpg/220px-Hatyafilmnew.jpg,https://en.wikipedia.org/wiki/Hatya,tt0053319,Sujata,Sujata,0,1960,161,Drama|Romance,tt0359657,4.9,24
101,Hum Farishte Nahin,tt0366593,https://upload.wikimedia.org/wikipedia/en/thumb/6/61/HumFarishteNahin.jpg/220px-HumFarishteNahin.jpg,https://en.wikipedia.org/wiki/Hum_Farishte_Nahin,tt0053566,Aas Ka Panchhi,Aas Ka Panchhi,0,1961,\N,Drama|Family,tt0157974,5.2,44
102,Inteqam,tt0095375,,https://en.wikipedia.org/wiki/Inteqam,tt0053629,Bombai Ka Babu,Bombai Ka Babu,0,1960,154,Drama|Musical|Romance,tt0239654,5.2,37
103,Jeete Hain Shaan Se,tt0361772,https://upload.wikimedia.org/wikipedia/en/thumb/c/c7/JeeteHainShaanSefilm.jpg/220px-JeeteHainShaanSefilm.jpg,https://en.wikipedia.org/wiki/Jeete_Hain_Shaan_Se,tt0053637,Barsaat Ki Raat,Barsaat Ki Raat,0,1960,142,Drama|Musical|Romance,tt0093555,5.4,65
104,Jungle Ki Beti,tt0382771,,https://en.wikipedia.org/wiki/Jungle_Ki_Beti,tt0053706,Chaudhvin Ka Chand,Chaudhvin Ka Chand,0,1960,169,Musical|Romance,tt0363832,5.1,16
