,title,imdb_id,poster_path,wiki_link,imdb_id,title,original_title,is_adult,year_of_release,runtime,genres,imdb_id,imdb_rating,imdb_votes
0,Aag Ka Gola,tt0177489,https://upload.wikimedia.org/wikipedia/en/2/2a/AagKaGolafilm.png,https://en.wikipedia.org/wiki/Aag_Ka_Gola,tt0042184,Afsar,Afsar,0,1950,121,Comedy|Romance,tt0177489,5.4,81
1,Ram Lakhan,tt0098168,https://upload.wikimedia.org/wikipedia/en/thumb/d/d4/Ram_Lakhan_poster.jpg/220px-Ram_Lakhan_poster.jpg,https://en.wikipedia.org/wiki/Ram_Lakhan,tt0042207,Arzoo,Arzoo,0,1950,\N,Musical|Romance,tt0098168,6.8,1993
2,Asmaan Se Ooncha,tt0233146,https://upload.wikimedia.org/wikipedia/en/thumb/9/9d/Aazmaanseooncha.png/220px-Aazmaanseooncha.png,https://en.wikipedia.org/wiki/Asmaan_Se_Ooncha,tt0042225,Banwra,Banwra,0,1950,148,Drama,tt0233146,5.0,44
3,Tridev,tt0100816,https://upload.wikimedia.org/wikipedia/en/thumb/4/49/Tridevfilm.jpg/220px-Tridevfilm.jpg,https://en.wikipedia.org/wiki/Tridev,tt0042233,Bawre Nain,Bawre Nain,0,1950,138,Drama|Romance,tt0100816,6.3,1602
4,ChaalBaaz,tt0122427,https://upload.wikimedia.org/wikipedia/en/thumb/e/e2/ChaalBaaz.jpg/220px-ChaalBaaz.jpg,https://en.wikipedia.org/wiki/ChaalBaaz,tt0042380,Dastan,Dastan,0,1950,122,Drama|Family|Romance,tt0122427,6.7,1298
5,Batwara,tt0096896,https://upload.wikimedia.org/wikipedia/en/thumb/6/6e/Batwara_poster.jpg/220px-Batwara_poster.jpg,https://en.wikipedia.org/wiki/Batwara,tt0043306,Awaara,Awaara,0,1951,193,Drama|Musical|Romance,tt0096896,6.5,165
6,Bade Ghar Ki Beti,tt0231214,,https://en.wikipedia.org/wiki/Bade_Ghar_Ki_Beti,tt0043307,Baazi,Baazi,0,1951,143,Crime|Drama|Musical,tt0231214,5.8,41
7,Bahurani (1989 film),tt0349122,,https://en.wikipedia.org/wiki/Bahurani_(1989_film),tt0043310,Bahar,Bahar,0,1951,170,Drama,tt0349122,6.7,66
8,Bhrashtachar,tt0096922,https://upload.wikimedia.org/wikipedia/en/thumb/4/49/Bhrashtachar.jpg/220px-Bhrashtachar.jpg,https://en.wikipedia.org/wiki/Bhrashtachar,tt0043842,Naujawan,Naujawan,0,1951,\N,Drama,tt0096922,4.7,102
9,Billoo Badshah,,,https://en.wikipedia.org/wiki/Billoo_Badshah,tt0043997,Sazaa,Sazaa,0,1951,111,Drama|Family,tt0100095,7.3,10089
10,Maine Pyar Kiya,tt0100095,https://upload.wikimedia.org/wikipedia/en/thumb/9/96/Maine_Pyar_Kiya.jpg/220px-Maine_Pyar_Kiya.jpg,https://en.wikipedia.org/wiki/Maine_Pyar_Kiya,tt0044318,Aan,Aan,0,1952,161,Action|Adventure|Drama,tt0405852,5.6,56
11,Clerk (1989 film),,,https://en.wikipedia.org/wiki/Clerk_(1989_film),tt0044318,Aan,Aan,0,1952,161,Action|Adventure|Drama,tt0926191,4.1,13
