,title,imdb_id,poster_path,wiki_link,imdb_id,title,original_title,is_adult,year_of_release,runtime,genres,imdb_id,imdb_rating,imdb_votes
51,Vaada Raha,tt1512321,https://upload.wikimedia.org/wikipedia/en/thumb/5/58/Vaadaraha-2009-2b-1_1241776041.jpg/220px-Vaadaraha-2009-2b-1_1241776041.jpg,https://en.wikipedia.org/wiki/Vaada_Raha,tt0103689,Angaar,Angaar,0,1992,176,Action|Crime|Drama,tt8823390,7.4,10
52,Dil Bole Hadippa!,tt1202540,https://upload.wikimedia.org/wikipedia/en/thumb/d/db/Dilbolehadippa%21.jpg/220px-Dilbolehadippa%21.jpg,https://en.wikipedia.org/wiki/Dil_Bole_Hadippa!,tt0103763,Balwaan,Balwaan,0,1992,142,Action|Adventure,tt1634329,3.0,59
53,What's Your Raashee?,tt1242530,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/What%27s_Your_Raashee%3F_poster.jpg/220px-What%27s_Your_Raashee%3F_poster.jpg,https://en.wikipedia.org/wiki/What%27s_Your_Raashee%3F,tt0104072,Deedar,Deedar,0,1992,130,Drama|Romance,tt1227762,4.6,2540
54,Acid Factory,tt1201557,https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/Acid_Factory_Movie_Poster.jpg/220px-Acid_Factory_Movie_Poster.jpg,https://en.wikipedia.org/wiki/Acid_Factory,tt0104548,Jeevan Ek Sanghursh,Jeevan Ek Sanghursh,0,1990,159,Drama|Family,tt0486615,5.4,3905
55,All the Best: Fun Begins,tt1433905,https://upload.wikimedia.org/wikipedia/en/thumb/1/13/AllTheBest.jpg/220px-AllTheBest.jpg,https://en.wikipedia.org/wiki/All_the_Best:_Fun_Begins,tt0104561,Jo Jeeta Wohi Sikandar,Jo Jeeta Wohi Sikandar,0,1992,174,Comedy|Drama|Romance,tt1245774,6.2,1097
56,Wake Up Sid,tt1324059,https://upload.wikimedia.org/wikipedia/en/thumb/9/9f/Wake_up_Sid.jpg/220px-Wake_up_Sid.jpg,https://en.wikipedia.org/wiki/Wake_Up_Sid,tt0104607,Khuda Gawah,Khuda Gawah,0,1992,193,Action|Adventure|Drama,tt1522329,4.9,1296
57,Main Aurr Mrs Khanna,tt1174041,https://upload.wikimedia.org/wikipedia/en/thumb/4/45/Mainaurrmrskhanna.jpg/220px-Mainaurrmrskhanna.jpg,https://en.wikipedia.org/wiki/Main_Aurr_Mrs_Khanna,tt0104645,Kshatriya,Kshatriya,0,1993,187,Action|Drama|War,tt1185442,5.7,4351
58,Blue (2009 film),tt1223922,https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/Blue_movie_poster.jpg/220px-Blue_movie_poster.jpg,https://en.wikipedia.org/wiki/Blue_(2009_film),tt0104660,Laat Saab,Laat Saab,0,1992,126,Action|Crime|Drama,tt1255951,5.3,6357
59,Bal Ganesh 2,tt8823390,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png,https://en.wikipedia.org/wiki/Bal_Ganesh_2,tt0104854,Mere Sajana Saath Nibhana,Mere Sajana Saath Nibhana,0,1992,141,Drama|Musical,tt1532957,7.2,10796
60,Fruit and Nut (film),tt1634329,https://upload.wikimedia.org/wikipedia/en/1/17/Fruit_and_nut_movie_poster.jpg,https://en.wikipedia.org/wiki/Fruit_and_Nut_(film),tt0104927,Mr. Bond,Mr. Bond,0,1992,127,Action|Adventure|Thriller,tt1434447,7.5,16941
61,Aladin (film),tt1227762,https://upload.wikimedia.org/wikipedia/en/thumb/d/d2/Aladin_%282009_film%29.jpg/220px-Aladin_%282009_film%29.jpg,https://en.wikipedia.org/wiki/Aladin_(film),tt0104941,Muqabla,Muqabla,0,1993,162,Action|Crime|Drama,tt1210356,6.3,504
62,London Dreams,tt0486615,https://upload.wikimedia.org/wikipedia/en/thumb/f/f7/Londondreamsfilm.jpg/220px-Londondreamsfilm.jpg,https://en.wikipedia.org/wiki/London_Dreams,tt0105007,Nishchaiy,Nishchaiy,0,1992,146,Action|Drama|Romance,tt1570417,3.9,274
63,Jail (2009 film),tt1245774,https://upload.wikimedia.org/wikipedia/en/thumb/e/e2/Jail_Movie_Poster.jpg/220px-Jail_Movie_Poster.jpg,https://en.wikipedia.org/wiki/Jail_(2009_film),tt0105161,Pratikar,Pratikar,0,1991,150,Action|Crime|Drama,tt1091229,4.0,7266
64,Tum Mile,tt1522329,https://upload.wikimedia.org/wikipedia/en/thumb/e/ed/Tum-mile-poster.jpg/220px-Tum-mile-poster.jpg,https://en.wikipedia.org/wiki/Tum_Mile,tt0105166,Prem Deewane,Prem Deewane,0,1992,160,Action|Adventure|Drama,tt1185420,6.5,12910
65,Aao Wish Karein,,,https://en.wikipedia.org/wiki/Aao_Wish_Karein,tt0105209,Radha Ka Sangam,Radha Ka Sangam,0,1992,\N,Action|Drama|Romance,tt1017456,6.6,11830
66,Kurbaan (2009 film),tt1185442,https://upload.wikimedia.org/wikipedia/en/thumb/c/c1/Kurbaan2.jpg/220px-Kurbaan2.jpg,https://en.wikipedia.org/wiki/Kurbaan_(2009_film),tt0105271,Roja,Roja,0,1992,137,Drama|Romance|Thriller,tt1182937,7.1,40973
67,De Dana Dan,tt1255951,https://upload.wikimedia.org/wikipedia/en/thumb/2/2b/Dedanadan.jpg/220px-Dedanadan.jpg,https://en.wikipedia.org/wiki/De_Dana_Dan,tt0105313,Sangeet,Sangeet,0,1992,144,Drama|Romance,tt1166100,7.3,53086
68,Paa (film),tt1532957,https://upload.wikimedia.org/wikipedia/en/thumb/1/17/Paaposter.jpg/220px-Paaposter.jpg,https://en.wikipedia.org/wiki/Paa_(film),tt0105315,Sapne Saajan Ke,Sapne Saajan Ke,0,1992,162,Drama|Romance,tt1146325,5.7,13333
69,Rocket Singh: Salesman of the Year,tt1434447,https://upload.wikimedia.org/wikipedia/en/c/c3/Rocket_Singh_Salesman_of_the_Year.jpg,https://en.wikipedia.org/wiki/Rocket_Singh:_Salesman_of_the_Year,tt0105500,Suryavanshi,Suryavanshi,0,1992,161,Fantasy|Horror,tt1092005,5.1,6427
70,Raat Gayi Baat Gayi?,tt1210356,https://upload.wikimedia.org/wikipedia/en/thumb/2/27/Raat_Gayi_Baat_Gayi_-_Poster.jpg/220px-Raat_Gayi_Baat_Gayi_-_Poster.jpg,https://en.wikipedia.org/wiki/Raat_Gayi_Baat_Gayi%3F,tt0105515,Tadipaar,Tadipaar,0,1993,134,Action|Drama,tt0449994,7.6,27541
71,Accident on Hill Road,tt1570417,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Accident_on_Hill_Road_poster.jpg/220px-Accident_on_Hill_Road_poster.jpg,https://en.wikipedia.org/wiki/Accident_on_Hill_Road,tt0105762,Virodhi,Virodhi,0,1992,143,Drama,tt1182972,6.2,9439
72,Chandni Chowk to China,tt1091229,https://upload.wikimedia.org/wikipedia/en/thumb/7/78/Chandni_Chowk_to_China.jpg/220px-Chandni_Chowk_to_China.jpg,https://en.wikipedia.org/wiki/Chandni_Chowk_to_China,tt0105866,Yalgaar,Yalgaar,0,1992,192,Action|Drama|Thriller,tt0991346,6.3,7053
73,Dostana (2008 film),tt1185420,https://upload.wikimedia.org/wikipedia/en/thumb/1/16/Dostana%2C_2008_film_poster.jpg/220px-Dostana%2C_2008_film_poster.jpg,https://en.wikipedia.org/wiki/Dostana_(2008_film),tt0105897,Zindagi Ek Juaa,Zindagi Ek Juaa,0,1992,\N,Action,tt0490210,6.8,6798
74,Race (2008 film),tt1017456,https://upload.wikimedia.org/wikipedia/en/thumb/9/90/Race_%282008_film%29_poster.jpg/220px-Race_%282008_film%29_poster.jpg,https://en.wikipedia.org/wiki/Race_(2008_film),tt0106203,Aaina,Aaina,0,1993,149,Drama|Romance,tt0892874,6.1,2045
75,Rab Ne Bana Di Jodi,tt1182937,https://upload.wikimedia.org/wikipedia/en/thumb/a/ab/Rab_Ne_Bana_Di_Jodi.jpg/220px-Rab_Ne_Bana_Di_Jodi.jpg,https://en.wikipedia.org/wiki/Rab_Ne_Bana_Di_Jodi,tt0106204,Aankhen,Aankhen,0,1993,170,Action|Comedy|Crime,tt1127869,7.0,43
76,Ghajini (2008 film),tt1166100,https://upload.wikimedia.org/wikipedia/en/thumb/9/97/Ghajini_Hindi.jpg/220px-Ghajini_Hindi.jpg,https://en.wikipedia.org/wiki/Ghajini_(2008_film),tt0106205,Aasoo Bane Angaarey,Aasoo Bane Angaarey,0,1993,150,Action,tt1159917,4.6,397
77,Singh Is Kinng,tt1146325,https://upload.wikimedia.org/wikipedia/en/thumb/e/e4/Singhisking.jpg/220px-Singhisking.jpg,https://en.wikipedia.org/wiki/Singh_Is_Kinng,tt0106206,Aashik Aawara,Aashik Aawara,0,1993,\N,Drama,tt1199534,6.2,47
78,Golmaal Returns,tt1092005,https://upload.wikimedia.org/wikipedia/en/thumb/d/dc/Golmaalreturns1.jpg/220px-Golmaalreturns1.jpg,https://en.wikipedia.org/wiki/Golmaal_Returns,tt0106221,Aadmi Khilona Hai,Aadmi Khilona Hai,0,1993,158,Drama|Romance,tt1039989,5.3,2349
79,Jodhaa Akbar,tt0449994,https://upload.wikimedia.org/wikipedia/en/thumb/0/0e/Jodhaa_akbar.jpg/220px-Jodhaa_akbar.jpg,https://en.wikipedia.org/wiki/Jodhaa_Akbar,tt0106270,Anari,Anari,0,1993,171,Comedy|Drama|Romance,tt1176960,5.2,2226
80,Bachna Ae Haseeno,tt1182972,https://upload.wikimedia.org/wikipedia/en/thumb/2/25/Bahcover.jpg/220px-Bahcover.jpg,https://en.wikipedia.org/wiki/Bachna_Ae_Haseeno,tt0106287,Anmol,Anmol,0,1993,163,Drama|Family|Romance,tt1182908,4.2,1832
81,Bhoothnath,tt0991346,https://upload.wikimedia.org/wikipedia/en/thumb/c/cc/Bhoothnath_poster.jpg/220px-Bhoothnath_poster.jpg,https://en.wikipedia.org/wiki/Bhoothnath,tt0106333,Baazigar,Baazigar,0,1993,175,Crime|Drama|Musical,tt1039995,5.9,2325
82,Sarkar Raj,tt0490210,https://upload.wikimedia.org/wikipedia/en/thumb/5/5a/Sarkar_Raj_Poster.jpg/220px-Sarkar_Raj_Poster.jpg,https://en.wikipedia.org/wiki/Sarkar_Raj,tt0106408,Bhaji on the Beach,Bhaji on the Beach,0,1993,101,Comedy|Drama,tt1224454,6.0,88
83,Halla Bol,tt0892874,https://upload.wikimedia.org/wikipedia/en/thumb/3/30/Halla_Bol.jpg/220px-Halla_Bol.jpg,https://en.wikipedia.org/wiki/Halla_Bol,tt0106541,Chandra Mukhi,Chandra Mukhi,0,1993,152,Comedy|Fantasy|Romance,tt0995752,3.8,4580
84,Humne Jeena Seekh Liya,tt1127869,https://upload.wikimedia.org/wikipedia/en/thumb/f/fa/Humne_Jeena_Seekh_Liya_Poster.jpg/220px-Humne_Jeena_Seekh_Liya_Poster.jpg,https://en.wikipedia.org/wiki/Humne_Jeena_Seekh_Liya,tt0106653,Dalaal,Dalaal,0,1993,160,Action|Drama,tt0885398,3.3,238
85,Bombay to Bangkok,tt1159917,https://upload.wikimedia.org/wikipedia/en/thumb/d/da/Bombaytobangkok.jpg/220px-Bombaytobangkok.jpg,https://en.wikipedia.org/wiki/Bombay_to_Bangkok,tt0106655,Damini,Damini,0,1993,175,Crime|Drama,tt1228707,1.5,176
86,Tulsi (film),tt1199534,https://upload.wikimedia.org/wikipedia/en/3/32/Tulsi-2008-218x300.jpg,https://en.wikipedia.org/wiki/Tulsi_(film),tt0106725,Dil Tera Aashiq,Dil Tera Aashiq,0,1993,151,Comedy|Drama|Romance,tt1216300,6.9,5196
87,Sunday (2008 film),tt1039989,https://upload.wikimedia.org/wikipedia/en/thumb/4/45/Sunday_movieposter.jpg/220px-Sunday_movieposter.jpg,https://en.wikipedia.org/wiki/Sunday_(2008_film),tt0106799,Ek Hi Raasta,Ek Hi Raasta,0,1993,130,Action|Thriller,tt1446055,4.9,53
