,title,imdb_id,poster_path,wiki_link,imdb_id,title,original_title,is_adult,year_of_release,runtime,genres,imdb_id,imdb_rating,imdb_votes
0,3 Idiots,tt1187043,https://upload.wikimedia.org/wikipedia/en/thumb/d/df/3_idiots_poster.jpg/220px-3_idiots_poster.jpg,https://en.wikipedia.org/wiki/3_Idiots,tt0054098,Mughal-E-Azam,Mughal-E-Azam,0,1960,197,Drama|Romance|War,tt1187043,8.4,310481
1,Luck by Chance,tt0886539,https://upload.wikimedia.org/wikipedia/en/thumb/1/14/Luckbychance.jpg/220px-Luckbychance.jpg,https://en.wikipedia.org/wiki/Luck_by_Chance,tt0096775,Agneekaal,Agneekaal,0,1990,161,Action|Crime|Drama,tt0886539,7.0,8979
2,Love Aaj Kal,tt1275863,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Love_Aaj_Kal_Movie_Poster.jpg/220px-Love_Aaj_Kal_Movie_Poster.jpg,https://en.wikipedia.org/wiki/Love_Aaj_Kal,tt0098461,Thanedaar,Thanedaar,0,1990,151,Action|Crime|Drama,tt1275863,6.8,13609
3,Wanted (2009 film),tt1084972,https://upload.wikimedia.org/wikipedia/en/thumb/2/26/Wanted7.jpg/220px-Wanted7.jpg,https://en.wikipedia.org/wiki/Wanted_(2009_film),tt0098975,Aadhi Haqeeqat Aadha Fasana,Aadhi Haqeeqat Aadha Fasana,0,1990,88,Documentary,tt1084972,6.6,17321
4,Delhi-6,tt1043451,https://upload.wikimedia.org/wikipedia/en/thumb/d/d3/Delhi-6.jpg/220px-Delhi-6.jpg,https://en.wikipedia.org/wiki/Delhi-6,tt0098976,Aaj Ka Arjun,Aaj Ka Arjun,0,1990,164,Action|Crime|Drama,tt1043451,6.0,6452
5,Raaz: The Mystery Continues,tt1340838,https://upload.wikimedia.org/wikipedia/en/thumb/6/68/Raaz-The_Mystery_Continues_poster.jpg/220px-Raaz-The_Mystery_Continues_poster.jpg,https://en.wikipedia.org/wiki/Raaz_%E2%80%93_The_Mystery_Continues,tt0098999,Agneepath,Agneepath,0,1990,174,Action|Crime|Drama,tt1340838,5.6,2976
6,Aasma: The Sky Is the Limit,tt1252594,https://upload.wikimedia.org/wikipedia/en/thumb/d/d6/Aasma%2C_The_Sky_Is_the_Limit.jpeg/220px-Aasma%2C_The_Sky_Is_the_Limit.jpeg,https://en.wikipedia.org/wiki/Aasma:_The_Sky_Is_the_Limit,tt0099025,Amba,Amba,0,1990,153,Family,tt1252594,3.8,41
7,Ajab Prem Ki Ghazab Kahani,tt1252596,https://upload.wikimedia.org/wikipedia/en/thumb/c/c0/Ajab-prem.jpg/220px-Ajab-prem.jpg,https://en.wikipedia.org/wiki/Ajab_Prem_Ki_Ghazab_Kahani,tt0099076,Awaargi,Awaargi,0,1990,149,Drama,tt1252596,6.3,11190
8,Chal Chala Chal,tt1438486,https://upload.wikimedia.org/wikipedia/en/thumb/8/84/Chal_Chala_Chal.jpg/220px-Chal_Chala_Chal.jpg,https://en.wikipedia.org/wiki/Chal_Chala_Chal,tt0099080,Baaghi: A Rebel for Love,Baaghi: A Rebel for Love,0,1990,157,Action|Romance,tt1438486,4.6,247
9,Billu,tt1230448,https://upload.wikimedia.org/wikipedia/en/thumb/c/cd/Billu-poster.jpg/220px-Billu-poster.jpg,https://en.wikipedia.org/wiki/Billu,tt0099081,Baap Numbri Beta Dus Numbri,Baap Numbri Beta Dus Numbri,0,1990,152,Action|Comedy|Crime,tt1230448,6.1,9507
10,The Stoneman Murders,tt1183946,https://upload.wikimedia.org/wikipedia/en/thumb/6/68/The_Stoneman_Murders_poster.jpg/220px-The_Stoneman_Murders_poster.jpg,https://en.wikipedia.org/wiki/The_Stoneman_Murders,tt0099429,Dil,Dil,0,1990,172,Comedy|Drama|Romance,tt1183946,7.4,2197
11,Kisse Pyaar Karoon,tt0438894,,https://en.wikipedia.org/wiki/Kisse_Pyaar_Karoon,tt0099467,Drishti,Drishti,0,1990,171,Drama,tt0438894,3.3,120
12,Dhoondte Reh Jaaoge,tt1391544,https://upload.wikimedia.org/wikipedia/en/thumb/6/63/Dhoondte_Reh_Jaoge_Poster.JPG/220px-Dhoondte_Reh_Jaoge_Poster.JPG,https://en.wikipedia.org/wiki/Dhoondte_Reh_Jaaoge,tt0099651,Ghar Ho To Aisa,Ghar Ho To Aisa,0,1990,155,Drama,tt1391544,5.6,613
13,Karma Aur Holi,tt0483701,https://upload.wikimedia.org/wikipedia/en/0/06/Karma_Aur_Holi.jpg,https://en.wikipedia.org/wiki/Karma_Aur_Holi,tt0099652,Ghayal,Ghayal,0,1990,163,Action|Crime|Drama,tt0483701,3.0,115
14,Victory (2009 film),tt1170411,https://upload.wikimedia.org/wikipedia/en/1/19/Victory_hindi.jpg,https://en.wikipedia.org/wiki/Victory_(2009_film),tt0099869,Izzatdaar,Izzatdaar,0,1990,172,Action|Crime|Drama,tt1170411,3.7,427
15,Kaminey,tt1274295,https://upload.wikimedia.org/wikipedia/en/thumb/c/c0/Kamineyposter.jpg/220px-Kamineyposter.jpg,https://en.wikipedia.org/wiki/Kaminey,tt0099916,Kali Ganga,Kali Ganga,0,1990,\N,Action,tt1274295,7.4,15696
16,Jai Veeru,tt1369669,https://upload.wikimedia.org/wikipedia/en/thumb/f/f0/Jaiveeru2.jpg/220px-Jaiveeru2.jpg,https://en.wikipedia.org/wiki/Jai_Veeru,tt0099929,Khilaaf,Khilaaf,0,1991,\N,Action|Comedy|Crime,tt1369669,3.5,237
17,Little Zizou,tt1119188,https://upload.wikimedia.org/wikipedia/en/thumb/c/c7/Little_Zizou_Poster.jpg/220px-Little_Zizou_Poster.jpg,https://en.wikipedia.org/wiki/Little_Zizou,tt0099943,Kishen Kanhaiya,Kishen Kanhaiya,0,1990,160,Action|Comedy|Drama,tt1119188,6.7,348
18,Gulaal (film),tt1261047,https://upload.wikimedia.org/wikipedia/en/thumb/8/8f/Gulaal.jpg/220px-Gulaal.jpg,https://en.wikipedia.org/wiki/Gulaal_(film),tt0100092,Maha-Sangram,Maha-Sangram,0,1990,159,Action|Drama|Romance,tt1261047,8.1,12799
19,Aloo Chaat (film),tt1305840,https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Aloo_Chaat_poster.jpg/220px-Aloo_Chaat_poster.jpg,https://en.wikipedia.org/wiki/Aloo_Chaat_(film),tt0100384,Police Public,Police Public,0,1990,127,Crime|Thriller,tt1305840,5.8,860
20,Barah Aana,tt1202517,https://upload.wikimedia.org/wikipedia/en/thumb/f/ff/Barahaana.jpg/220px-Barahaana.jpg,https://en.wikipedia.org/wiki/Barah_Aana,tt0100401,Pratibandh,Pratibandh,0,1990,159,Action|Drama,tt1202517,6.8,932
21,Firaaq,tt1263679,https://upload.wikimedia.org/wikipedia/en/9/93/Firaaq.jpg,https://en.wikipedia.org/wiki/Firaaq,tt0100539,Sailaab,Sailaab,0,1990,\N,Drama|Romance,tt1263679,7.4,1796
22,Straight (2009 film),,https://upload.wikimedia.org/wikipedia/en/thumb/7/7a/Straight_%28film%29.jpg/220px-Straight_%28film%29.jpg,https://en.wikipedia.org/wiki/Straight_(2009_film),tt0101244,100 Days,100 Days,0,1991,161,Horror|Romance|Thriller,tt1372681,5.0,812
23,Aa Dekhen Zara,tt1372681,https://upload.wikimedia.org/wikipedia/en/thumb/d/d7/Aadekhezaraposter.jpg/220px-Aadekhezaraposter.jpg,https://en.wikipedia.org/wiki/Aa_Dekhen_Zara,tt0101283,Ajooba,Ajooba,0,1991,178,Action|Adventure|Comedy,tt1370429,7.3,2521
24,99 (2009 film),tt1370429,https://upload.wikimedia.org/wikipedia/en/thumb/7/76/99Poster.jpg/220px-99Poster.jpg,https://en.wikipedia.org/wiki/99_(2009_film),tt0101284,Akayla,Akayla,0,1991,180,Action|Drama|Thriller,tt1454461,4.8,286
25,Ek: The Power of One,tt1454461,https://upload.wikimedia.org/wikipedia/en/thumb/4/49/Ekthepowerofone_poster.jpg/220px-Ekthepowerofone_poster.jpg,https://en.wikipedia.org/wiki/Ek:_The_Power_of_One,tt0101432,Benaam Badsha,Benaam Badsha,0,1991,\N,Action|Crime|Drama,tt1420539,4.2,43
26,Ek Se Bure Do,tt1420539,https://upload.wikimedia.org/wikipedia/en/thumb/0/09/Ek_Se_Bure_Do.jpg/220px-Ek_Se_Bure_Do.jpg,https://en.wikipedia.org/wiki/Ek_Se_Bure_Do,tt0101616,Coolie No. 1,Coolie No. 1,0,1995,143,Comedy,tt1278447,6.4,250
27,Sikandar (2009 film),tt1278447,https://upload.wikimedia.org/wikipedia/en/thumb/c/cb/Sikandar%2C_2009_film_poster.jpg/220px-Sikandar%2C_2009_film_poster.jpg,https://en.wikipedia.org/wiki/Sikandar_(2009_film),tt0101733,Dil Hai Ki Manta Nahin,Dil Hai Ki Manta Nahin,0,1991,154,Adventure|Comedy|Drama,tt1479857,6.4,46
28,Zor Lagaa Ke...Haiya!,tt1479857,https://upload.wikimedia.org/wikipedia/en/thumb/a/ac/Zor_Laga_Ke_HaiyaMithun.jpg/220px-Zor_Laga_Ke_HaiyaMithun.jpg,https://en.wikipedia.org/wiki/Zor_Lagaa_Ke...Haiya!,tt0101742,Deewana Mujh Sa Nahin,Deewana Mujh Sa Nahin,0,1990,130,Comedy|Drama|Romance,tt1176961,4.2,471
29,Let's Dance (2009 film),,https://upload.wikimedia.org/wikipedia/en/thumb/7/7c/Lets_Dance_Poster.jpg/220px-Lets_Dance_Poster.jpg,https://en.wikipedia.org/wiki/Let%27s_Dance_(2009_film),tt0101887,First Love Letter,First Love Letter,0,1991,165,Romance,tt1328634,6.8,9656
30,Paying Guests,tt1176961,https://upload.wikimedia.org/wikipedia/en/thumb/3/3c/Paying_Guests_Hindi_movie.jpg/220px-Paying_Guests_Hindi_movie.jpg,https://en.wikipedia.org/wiki/Paying_Guests,tt0102071,Hum,Hum,0,1991,184,Action|Crime|Drama,tt1252614,6.2,574
31,New York (2009 film),tt1328634,https://upload.wikimedia.org/wikipedia/en/thumb/6/65/New-York-movie-poster.jpg/220px-New-York-movie-poster.jpg,https://en.wikipedia.org/wiki/New_York_(2009_film),tt0102073,Humlaa,Humlaa,0,1992,\N,Action|Drama,tt1229390,3.4,806
32,Sankat City,tt1252614,https://upload.wikimedia.org/wikipedia/en/0/01/Sankat_City_Movie_Poster.jpg,https://en.wikipedia.org/wiki/Sankat_City,tt0102119,Indrajeet,Indrajeet,0,1991,\N,Action|Drama,tt1242782,4.8,2187
33,Shortkut,tt1229390,https://upload.wikimedia.org/wikipedia/en/thumb/c/cd/Shortkut.jpg/220px-Shortkut.jpg,https://en.wikipedia.org/wiki/Shortkut,tt0102148,Jamai Raja,Jamai Raja,0,1990,\N,Drama|Romance,tt1229366,5.2,1176
34,Jashnn,,https://upload.wikimedia.org/wikipedia/en/thumb/1/14/Jashnn_Movie_Poster.jpg/220px-Jashnn_Movie_Poster.jpg,https://en.wikipedia.org/wiki/Jashnn,tt0102160,Jigarwala,Jigarwala,0,1991,132,Action|Drama,tt1404573,3.9,331
35,Luck (2009 film),tt1242782,https://upload.wikimedia.org/wikipedia/en/c/c9/Luck_Hindi_Movie_Poster.jpg,https://en.wikipedia.org/wiki/Luck_(2009_film),tt0102191,Kasba,Kasba,0,1991,121,Drama,tt1372266,5.4,256
36,Chal Chalein,,https://upload.wikimedia.org/wikipedia/en/thumb/e/ed/Chal_Chalein.jpg/220px-Chal_Chalein.jpg,https://en.wikipedia.org/wiki/Chal_Chalein,tt0102200,Khel,Khel,0,1992,152,Comedy|Drama|Romance,tt1002963,7.8,871
37,Teree Sang,,https://upload.wikimedia.org/wikipedia/en/thumb/6/6d/Teree_Sang_Movie_Poster.jpg/220px-Teree_Sang_Movie_Poster.jpg,https://en.wikipedia.org/wiki/Teree_Sang,tt0102201,Khoon Ka Karz,Khoon Ka Karz,0,1991,151,Action|Crime|Drama,tt1479667,5.1,354
38,Life Partner,tt1229366,https://upload.wikimedia.org/wikipedia/en/thumb/c/cd/Lifepartner-poster.jpg/220px-Lifepartner-poster.jpg,https://en.wikipedia.org/wiki/Life_Partner_(film),tt0102258,Lamhe,Lamhe,0,1991,187,Drama|Musical|Romance,tt1135931,5.8,168
39,Daddy Cool (2009 Hindi film),tt1404573,https://upload.wikimedia.org/wikipedia/en/thumb/9/95/Daddycool-2009-3b-1_1230036430.jpg/220px-Daddycool-2009-3b-1_1230036430.jpg,https://en.wikipedia.org/wiki/Daddy_Cool_(2009_Hindi_film),tt0102513,Narasimha,Narasimha,0,1991,214,Action|Drama,tt1176911,5.9,757
40,Kisaan,tt1372266,https://upload.wikimedia.org/wikipedia/en/c/c5/Kissan_Hindi_Movie_Poster.jpg,https://en.wikipedia.org/wiki/Kisaan,tt0102515,Nazar,Nazar,0,1990,124,Drama,tt1324076,5.2,512
41,Love Khichdi,,https://upload.wikimedia.org/wikipedia/en/thumb/d/d8/Love_Khichdi_Movie_Poster.jpg/220px-Love_Khichdi_Movie_Poster.jpg,https://en.wikipedia.org/wiki/Love_Khichdi,tt0102645,Patthar Ke Phool,Patthar Ke Phool,0,1991,155,Action|Drama|Romance,tt1508950,5.2,287
42,Toss (2009 film),,https://upload.wikimedia.org/wikipedia/en/8/8d/Toss_Movie_Poster.jpg,https://en.wikipedia.org/wiki/Toss_(2009_film),tt0102701,Prahaar: The Final Attack,Prahaar: The Final Attack,0,1991,166,Action|Crime|Drama,tt1236441,6.9,70
43,Yeh Mera India,tt1002963,,https://en.wikipedia.org/wiki/Yeh_Mera_India,tt0102702,Pratigyabadh,Pratigyabadh,0,1991,125,Drama,tt1512321,5.4,327
44,Aagey Se Right,tt1479667,https://upload.wikimedia.org/wikipedia/en/thumb/b/b0/Aage_se_right.JPG/220px-Aage_se_right.JPG,https://en.wikipedia.org/wiki/Aagey_Se_Right,tt0102706,Prem Qaidi,Prem Qaidi,0,1991,156,Action|Romance,tt1202540,4.5,3528
45,Chintu Ji,tt1135931,https://upload.wikimedia.org/wikipedia/en/thumb/7/74/Chintu_Ji_poster.jpg/220px-Chintu_Ji_poster.jpg,https://en.wikipedia.org/wiki/Chintu_Ji,tt0102746,Kurbaan,Kurbaan,0,1991,\N,Action|Drama|Romance,tt1242530,4.6,2417
46,Quick Gun Murugun,tt1176911,https://upload.wikimedia.org/wikipedia/en/thumb/0/08/Quick_Gun_Murugun_2009_poster.jpg/220px-Quick_Gun_Murugun_2009_poster.jpg,https://en.wikipedia.org/wiki/Quick_Gun_Murugun,tt0102825,Saajan,Saajan,0,1991,181,Drama|Musical|Romance,tt1201557,5.0,625
47,Fox (film),tt1324076,https://upload.wikimedia.org/wikipedia/en/thumb/a/a3/Fox_film.jpg/220px-Fox_film.jpg,https://en.wikipedia.org/wiki/Fox_(film),tt0102835,Sanam Bewafa,Sanam Bewafa,0,1991,160,Drama|Romance,tt1433905,6.1,5100
48,Aamras,,,https://en.wikipedia.org/wiki/Aamras,tt0102844,Saudagar,Saudagar,0,1991,213,Action|Drama|Family,tt1324059,7.6,25630
49,Baabarr,tt1508950,https://upload.wikimedia.org/wikipedia/en/thumb/6/64/Baabarr_%28movie_poster%29.jpg/220px-Baabarr_%28movie_poster%29.jpg,https://en.wikipedia.org/wiki/Baabarr,tt0102846,Saugandh,Saugandh,0,1991,153,Action|Drama|Romance,tt1174041,3.6,2494
50,Phir Kabhi,tt1236441,https://upload.wikimedia.org/wikipedia/en/2/2f/PhirKabhi2009.jpg,https://en.wikipedia.org/wiki/Phir_Kabhi,tt0103304,Yeh Aag Kab Bujhegi,Yeh Aag Kab Bujhegi,0,1991,\N,Drama,tt1223922,3.7,4203
